Exp_ID,location_name,latitude,longitude,ecozone,province,soil_great_group,soil_sub_group,soil_texture,sand_px,clay_px,silt_px,initial_soc_tha,initial_soc_year,plot_id,block,treatment_number,treatment_name,replication_number,duration,year_name,start_year,end_year,tillage,STIR_rating,grain_yield_kgha,hay_yield_kgha,hay_residue_kgha,crop,ICASA_code,AAFC_code,crop_rotation,rotation_seq,crop_seq,straw_biomass_kgha,straw_returned,silage_yld_kgha,root_biomass_kgha,biomass_returned_kgha,soc_tha,bd_gcm3,soil_depth_min_cm,soil_depth_max_cm,N_fertilizer_kgha,N_fertilizer_kgha_2,N_fertilizer_kgha_3,P_fertilizer_kgha,P_fertilizer_kgha_2,P_fertilizer_kgha_3,K_fertilizer_kgha,K_fertilizer_kgha_2,S_fertilizer_kgha,S_fertilizer_kgha_2,manure_kgha,residue_estimation_methodology,soil_total_carbon_conc_gkg,soil_total_carbon_px,soil_total_carbon2_px,soil_organic_matter_kgha,organic_matter_px,crop_residue_avg_kgha,crop_residue_kgha,above_ground_residue_kgha,roots_residue_kgha,root_exudates_kgha,reference,flag,theme,TrtID,simple_trt_name,r_c,tillage_soil,tillage_type,irrigation_region,irrigation,cinput_lignin_px,cinput_n_px,Location,POLYID,ECO_ID,SL,PROVINCE,PCPTREGION,soil_depth,combination_group,lowest_depth
E58,"Woodslee,  Ontario",42.21666667,-82.75,8,Ontario,Humic Gleysol,Orthic,Medium,28,38,NA,NA,NA,NA,NA,NA,CT,NA,22,2014,1993,2014,CT,NA,NA,NA,NA,CRN,MAZ,CORNGR,CONT_CRN fertilized,NA,NA,NA,NA,NA,NA,NA,78.5,NA,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VandenBygaart et al. 2010,Originates from census,til,E58_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,NA,NA,NA,NA,NA,NA,0-30,1,30
E58,"Woodslee,  Ontario",42.21666667,-82.75,8,Ontario,Humic Gleysol,Orthic,Medium,28,38,NA,NA,NA,NA,NA,NA,CT,NA,22,2014,1993,2014,CT,NA,NA,NA,NA,CRN,MAZ,CORNGR,CONT_CRN,NA,NA,NA,NA,NA,NA,NA,78.5,NA,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VandenBygaart et al. 2010,Originates from census,til,E58_CT,NA,NA,Brown,Intensive Tillage,Canada,0,10,10,NA,NA,NA,NA,NA,NA,0-30,1,30
