Exp_ID,location_name,latitude,longitude,ecozone,province,soil_great_group,soil_sub_group,soil_texture,sand_px,clay_px,silt_px,initial_soc_tha,initial_soc_year,plot_id,block,treatment_number,treatment_name,replication_number,duration,year_name,start_year,end_year,tillage,STIR_rating,grain_yield_kgha,hay_yield_kgha,hay_residue_kgha,crop,ICASA_code,AAFC_code,crop_rotation,rotation_seq,crop_seq,straw_biomass_kgha,straw_returned,silage_yld_kgha,root_biomass_kgha,biomass_returned_kgha,soc_tha,bd_gcm3,soil_depth_min_cm,soil_depth_max_cm,N_fertilizer_kgha,N_fertilizer_kgha_2,N_fertilizer_kgha_3,P_fertilizer_kgha,P_fertilizer_kgha_2,P_fertilizer_kgha_3,K_fertilizer_kgha,K_fertilizer_kgha_2,S_fertilizer_kgha,S_fertilizer_kgha_2,manure_kgha,residue_estimation_methodology,soil_total_carbon_conc_gkg,soil_total_carbon_px,soil_total_carbon2_px,soil_organic_matter_kgha,organic_matter_px,crop_residue_avg_kgha,crop_residue_kgha,above_ground_residue_kgha,roots_residue_kgha,root_exudates_kgha,reference,flag,theme,TrtID,simple_trt_name,Location,POLYID,ECO_ID,...74,SL,PROVINCE,PCPTREGION,soc_tha_30cm
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,1983,1983,2009,CT,NA,1348.043478,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,1384.891304,yes,NA,601.2456522,NA,110.21,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,1384.891304,NA,601.2456522,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,110.21
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,1984,1983,2009,CT,NA,2809.065,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2102.73,yes,NA,1080.5949,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2102.73,NA,1080.5949,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,1985,1983,2009,CT,NA,2929.5,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2357.455,yes,NA,1163.1301,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2357.455,NA,1163.1301,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,1986,1983,2009,CT,NA,2431.485,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2478.14,yes,NA,1080.1175,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2478.14,NA,1080.1175,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,1987,1983,2009,CT,NA,1706.3525,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,1567.95,yes,NA,720.34655,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,1567.95,NA,720.34655,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,1988,1983,2009,CT,NA,2805.775,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2668.75,yes,NA,1204.3955,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2668.75,NA,1204.3955,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,1989,1983,2009,CT,NA,1518.025,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,1619.325,yes,NA,690.217,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,1619.325,NA,690.217,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,1990,1983,2009,CT,NA,2690.825,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2697.025,yes,NA,1185.327,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2697.025,NA,1185.327,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,1991,1983,2009,CT,NA,2674.891304,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2503.26087,yes,NA,1139.193478,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2503.26087,NA,1139.193478,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
E1,Ellerslie,53.416667,-113.55,10,Alberta,Black Chernozem,Orthic,Medium,17,39,NA,110.21,1983,NA,NA,14,F0S,1,27,1992,1983,2009,CT,NA,2543.325,NA,NA,BAR,BAR,BARLEY,CONT_BAR,NA,NA,2504.525,yes,NA,1110.527,NA,NA,NA,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,est_equation,NA,NA,NA,NA,NA,NA,2504.525,NA,1110.527,NA,Malhi et al. 2011b,NA,cpr,E1_F0S_CT,NA,1,727006,727,NA,727006,AB,AB_3,NA
