POLYID,Year,Month,meanTmax,meanTmin,meanTmean,meanWindSpeed,meanRad,meanRH,sumPrecip,sumRain,sumSnow,sumRad,maxTmax,maxDailyPrecip,maxDailyRain,maxDailySnow,maxDailyWindSpeed,minTmin
425023,2016,1,-5.04,-15.07,-10.06,1.34,5.07,95.68,59.51,3.78,55.73,157.24,3.08,19.19,3.78,19.19,2.73,-27.31
425023,2016,2,-4.58,-16.09,-10.34,2.01,8.14,91.57,126.87,0,126.87,236.13,4.2,32.76,0,32.76,3.3,-33.35
425023,2016,3,1.35,-8.31,-3.48,1.29,13.26,89.38,103.45,68.04,35.41,411.16,13.32,29.46,29.46,12.06,2.61,-31.47
425023,2016,4,7.93,-4.52,1.7,0.75,19.65,76.41,63.74,52.56,11.18,589.48,20.46,18.67,18.67,7.33,1.74,-13.73
425023,2016,5,18.54,6.05,12.29,0.38,21.04,77.35,44.74,44.74,0,652.17,27.89,12.48,12.48,0,0.59,-2.68
425023,2016,6,22.85,11.73,17.29,0.36,22.85,76.25,75.56,75.56,0,685.59,28.54,24.02,24.02,0,0.56,5.07
425023,2016,7,25.97,14.85,20.41,0.32,21.44,77.45,79.64,79.64,0,664.52,30.09,25.39,25.39,0,0.49,11.28
425023,2016,8,27.2,16.05,21.63,0.31,19.05,75.23,100.76,100.76,0,590.53,33.3,28.73,28.73,0,0.45,10.62
425023,2016,9,23.35,11.01,17.18,0.36,16.3,71.95,49,49,0,489.12,31.8,17.83,17.83,0,0.62,3.27
425023,2016,10,13.99,4.11,9.05,0.36,8.63,79.78,139.92,139.92,0,267.63,24.67,35.55,35.55,0,0.62,-3.35
425023,2016,11,6.46,-1.71,2.38,0.47,5.51,89.55,72.95,50.76,22.19,165.2,14.44,21.54,21.54,5.82,1,-10.26
425023,2016,12,-2.42,-11.07,-6.75,0.84,3.67,92.37,88.25,22.57,65.68,113.72,5.55,20.45,20.45,14.29,1.55,-27.95
