POLYID,Year,Month,meanTmax,meanTmin,meanTmean,meanWindSpeed,meanRad,meanRH,sumPrecip,sumRain,sumSnow,sumRad,maxTmax,maxDailyPrecip,maxDailyRain,maxDailySnow,maxDailyWindSpeed,minTmin
425023,2011,1,-8.46,-17.06,-12.76,1.05,4.79,95.05,38.21,3.55,34.66,148.57,2.63,12.28,3.55,12.28,1.9,-37.54
425023,2011,2,-4.99,-16.05,-10.52,1.71,8.93,93.41,64.75,4.27,60.48,250.16,3.23,21.13,4.27,21.13,3.57,-25.11
425023,2011,3,0.12,-9.94,-4.91,1.35,13.69,89.34,107.8,20.46,87.34,424.3,7.34,26.57,13.39,26.57,2.47,-25.11
425023,2011,4,10.43,-0.48,4.97,0.79,15.53,81.7,140.72,140.72,0,465.84,22.11,23.57,23.57,0,1.33,-6.24
425023,2011,5,18,7.75,12.87,0.35,16.28,84.75,124.97,124.97,0,504.73,27.69,26.35,26.35,0,0.55,-0.06
425023,2011,6,23.46,12.37,17.92,0.32,20.73,79.12,81.36,81.36,0,621.89,28.49,25.03,25.03,0,0.55,5.84
425023,2011,7,26.22,16.14,21.18,0.31,23.37,79.56,71.7,71.7,0,724.5,31.79,18.18,18.18,0,0.42,12.8
425023,2011,8,24.25,14.39,19.32,0.3,18.27,81.59,121.27,121.27,0,566.47,27.69,29.19,29.19,0,0.6,10.11
425023,2011,9,21.95,11.25,16.6,0.31,14.61,81.06,80.61,80.61,0,438.44,26.77,26.25,26.25,0,0.46,3.09
425023,2011,10,13.99,4.65,9.32,0.36,8.54,81.4,79.08,79.08,0,264.83,23.98,23.11,23.11,0,0.68,-3.99
425023,2011,11,8.81,-0.67,4.07,0.43,5.49,85.6,61.37,49.93,11.44,164.82,16.46,17.85,17.85,6.21,0.91,-7.63
425023,2011,12,-0.73,-9.17,-4.95,0.74,3.93,89.23,86.82,31.57,55.25,121.94,7.15,22.7,22.7,7.42,1.58,-28.38
570007,2011,1,-3.12,-9.1,-6.11,3.88,4.67,85.19,34.85,12.12,22.73,144.9,7.08,12.12,12.12,3.16,6.21,-16.41
570007,2011,2,-0.84,-8.29,-4.56,4.87,7.4,88.16,57.38,0,57.38,207.07,10.59,16.53,0,16.53,8.93,-19.06
570007,2011,3,4.3,-4.01,0.14,4.09,11.53,80.32,80.5,63.47,17.03,357.39,14.82,21.4,21.4,9.9,6.63,-10.31
570007,2011,4,11.88,2.31,7.1,4.64,13.47,78.39,102.84,102.84,0,404.22,22.68,19.8,19.8,0,8.19,-1.81
570007,2011,5,19.16,9.34,14.25,3.21,17.7,81.21,121.96,121.96,0,548.67,28.98,32.46,32.46,0,6.16,2.09
570007,2011,6,23.89,14.32,19.1,2.99,22.55,78.12,81.81,81.81,0,676.62,28.1,26.98,26.98,0,5.63,9.47
570007,2011,7,28.35,19.6,23.97,2.39,23.31,76.48,102.31,102.31,0,722.65,33.16,34.99,34.99,0,4.16,14.87
570007,2011,8,26.14,17.63,21.88,2.73,19.92,75.3,76.07,76.07,0,617.65,29.49,28.24,28.24,0,5.52,13.52
570007,2011,9,21.59,13.61,17.6,3.11,13.15,80.38,107.33,107.33,0,394.53,31.73,32.23,32.23,0,6.24,6.7
570007,2011,10,15.79,7.93,11.86,3.54,10.02,79.62,78.09,78.09,0,310.55,24.92,24.96,24.96,0,7.89,2.56
570007,2011,11,10.36,3.2,6.78,4.81,6.94,81.95,98.65,90.39,8.26,208.3,17.64,30.92,30.92,8.26,7.98,-3.52
570007,2011,12,3.53,-2.19,0.67,3.78,4.92,85.66,61.89,51.44,10.45,152.59,12.35,15.59,15.59,3.87,7.69,-6.75
692009,2011,1,-8.89,-16.13,-12.51,3.32,3.46,93.34,55.89,0,55.89,107.38,2.55,19.99,0,19.99,6.15,-28.77
692009,2011,2,-7.29,-16.37,-11.83,3.39,7.64,89.89,19.94,1.42,18.52,214.06,2.29,9.36,1.42,9.36,5.73,-30.27
692009,2011,3,-2.79,-12.01,-7.4,2.85,11.47,89.43,24.67,0,24.67,355.71,9.18,9.07,0,9.07,4.88,-33.66
692009,2011,4,7.46,-2.62,2.42,2.53,19.31,68.92,32.71,12.99,19.72,579.2,14.96,16.38,4.41,16.38,5.38,-7.06
692009,2011,5,15.61,3.27,9.44,2.85,20.88,66.55,46.14,46.14,0,647.21,21.39,18.73,18.73,0,6.7,-1.66
692009,2011,6,17.88,7.61,12.75,2.31,19.6,74.85,125.94,125.94,0,588.12,23.59,39.99,39.99,0,4.09,0.99
692009,2011,7,20.86,9.73,15.3,2.47,19.67,73.62,124.94,124.94,0,609.74,25.43,25.32,25.32,0,5.91,6.16
692009,2011,8,22.26,9.49,15.87,2.04,19.48,67.73,43.07,43.07,0,603.76,29.84,16,16,0,3.13,5.19
692009,2011,9,21.17,6.82,14,2.45,14.76,61.19,15.79,15.79,0,442.92,29.3,9.06,9.06,0,4.95,1.44
692009,2011,10,10.94,0.2,5.57,2.36,7.61,69.45,18.17,18.17,0,235.96,16.63,7.91,7.91,0,4.02,-4.28
692009,2011,11,0.16,-7.86,-3.85,2.77,3.81,75.39,32.34,8.15,24.19,114.24,8.24,13.19,2.34,13.19,4.88,-21.91
692009,2011,12,-0.98,-9.06,-5.02,3.23,2.63,81.29,21.47,6.49,14.98,81.46,3.65,7.89,3.44,7.89,6.11,-17.87
727006,2011,1,-9.31,-16.64,-12.97,3.6,3.58,93.67,53.02,0,53.02,111.04,2.77,19.17,0,19.17,6.89,-28.89
727006,2011,2,-7.69,-16.72,-12.2,3.81,7.89,91.33,19.27,1.44,17.83,220.89,1.88,8.4,1.44,8.4,5.93,-29.75
727006,2011,3,-3.63,-12.48,-8.05,3.06,12.68,90.9,23.38,0,23.38,393.11,9.11,10.05,0,10.05,5.06,-31.19
727006,2011,4,8.24,-2.27,2.99,2.79,19.1,66.33,25.04,11.5,13.54,572.88,16.87,12.31,3.83,12.31,5.34,-6.17
727006,2011,5,17.06,4.46,10.76,3.05,21.56,61.75,26.54,26.54,0,668.4,23.22,11.18,11.18,0,6.87,-0.2
727006,2011,6,18.79,8.3,13.55,2.5,20.33,72.53,110.12,110.12,0,609.88,24.49,36.56,36.56,0,4.48,1.56
727006,2011,7,21.21,10.67,15.94,2.71,21.21,73.13,126.16,126.16,0,657.63,25.97,27.49,27.49,0,5.36,6.74
727006,2011,8,22.57,10.13,16.35,2.33,20.27,67.01,25.72,25.72,0,628.32,30.04,11.25,11.25,0,3.98,5.35
727006,2011,9,21.04,7.16,14.1,2.7,14.97,61.44,12.65,12.65,0,448.96,29.8,5.66,5.66,0,5.02,2.01
727006,2011,10,11.05,0.65,5.85,2.69,7.91,71.59,16.54,16.54,0,245.26,16.73,8.09,8.09,0,4.56,-3.92
