POLYID,Year,Month,meanTmax,meanTmin,meanTmean,meanWindSpeed,meanRad,meanRH,sumPrecip,sumRain,sumSnow,sumRad,maxTmax,maxDailyPrecip,maxDailyRain,maxDailySnow,maxDailyWindSpeed,minTmin
425023,2015,1,-8.59,-21.62,-15.11,1.41,6.02,95.11,57.99,0,57.99,186.48,0.3,18.85,0,18.85,2.41,-33.64
425023,2015,2,-12.23,-24.45,-18.34,1.76,9.92,96.42,38.62,0,38.62,277.85,-3.97,11.17,0,11.17,3.52,-33.22
425023,2015,3,-1.81,-12.92,-7.37,1.4,14.78,89.51,37.33,5.51,31.82,458.19,5.51,12.73,4.09,12.73,2.12,-27.56
425023,2015,4,10.73,-1.12,4.8,0.85,18.29,77.29,73.94,66.26,7.68,548.83,20.48,17.44,17.44,5.48,1.52,-14.12
425023,2015,5,21.07,7.78,14.43,0.39,20.67,75.04,75.62,75.62,0,640.66,27.93,19.45,19.45,0,0.59,-1.82
425023,2015,6,21.91,10.65,16.28,0.32,20.72,78.97,120.99,120.99,0,621.71,27.23,30.39,30.39,0,0.44,5.32
425023,2015,7,25.67,14.16,19.91,0.33,21.83,77.46,78.07,78.07,0,676.81,31.75,18.78,18.78,0,0.45,8.38
425023,2015,8,25.6,14.74,20.17,0.31,17.67,77.45,89.76,89.76,0,547.63,31.15,29.61,29.61,0,0.45,10.8
425023,2015,9,24.27,12.24,18.26,0.31,15.2,76.27,92.56,92.56,0,455.91,31.77,30.97,30.97,0,0.41,5.32
425023,2015,10,12.21,1.81,7.01,0.36,9.98,74.26,82.93,82.93,0,309.25,22.67,23.89,23.89,0,0.51,-5.51
425023,2015,11,8.49,-0.82,3.83,0.43,5.92,82.85,51.35,49.43,1.92,177.52,19.55,13.11,13.11,1.92,0.76,-8.61
425023,2015,12,3.17,-3.75,-0.29,0.76,3.51,90.81,106.96,50.65,56.31,108.73,16.83,27.45,10.96,27.45,1.67,-13.39
570007,2015,1,-3.43,-10.89,-7.16,4.39,5.42,84.64,50.67,0,50.67,167.95,2.58,15.27,0,15.27,7.9,-17.55
570007,2015,2,-7.22,-17.25,-12.24,3.88,8.17,92.56,42.27,0,42.27,228.83,1.25,15.67,0,15.67,7.28,-26.83
570007,2015,3,3.67,-5.83,-1.08,3.65,13.61,77.91,23.29,13.58,9.71,421.92,13.8,7.41,7.41,3.03,6.32,-18.92
570007,2015,4,13.17,2.09,7.63,4,16.5,73.69,57.59,57.59,0,494.97,20.77,17.76,17.76,0,7.52,-5.19
570007,2015,5,21.01,10.18,15.6,3.16,19.77,75,87.31,87.31,0,612.72,26.51,27.35,27.35,0,6.1,3.15
570007,2015,6,23.24,13.5,18.37,3,20.02,79.42,118.78,118.78,0,600.53,28.08,36.27,36.27,0,7.03,6.77
570007,2015,7,25.88,16.39,21.13,2.37,22.59,74.67,77.11,77.11,0,700.32,30.38,26.57,26.57,0,4.19,10.47
570007,2015,8,25.51,16.86,21.18,2.71,19.59,75.26,74.55,74.55,0,607.21,29.97,28.41,28.41,0,5.06,12.4
570007,2015,9,24.76,15.89,20.33,2.88,16.56,75.82,64.33,64.33,0,496.79,30.32,24.16,24.16,0,5.19,10.1
570007,2015,10,16.18,7.96,12.07,4.17,10.31,75,56.61,56.61,0,319.74,22.82,19.62,19.62,0,7.44,1.28
570007,2015,11,11.61,3.33,7.47,4.19,8.05,78.5,48.02,30.72,17.3,241.45,22.01,14.9,5.44,14.9,9,-5.79
570007,2015,12,7.9,1.39,4.64,4.27,4.27,86.5,53,53,0,132.36,15.25,13.49,13.49,0,8.02,-3.42
692009,2015,1,-3.82,-12.24,-8.03,2.92,3.57,89.81,34.19,3.91,30.28,110.66,7.46,11.91,3.91,11.91,5.55,-29.02
692009,2015,2,-3.46,-12.64,-8.05,3.2,6.84,88.5,26.8,0,26.8,191.52,8.73,11.76,0,11.76,5.78,-21.52
692009,2015,3,7.36,-4.2,1.58,3.19,12.56,74.9,18.79,5.89,12.9,389.22,17.15,8.86,2.24,8.86,7.7,-18.37
692009,2015,4,11.17,-1.23,4.97,3.13,16.03,65.63,26.62,22.19,4.43,480.92,25.4,10.7,10.7,2.57,6.95,-4.89
692009,2015,5,16.44,2.54,9.49,2.9,22.8,59.29,32.03,32.03,0,706.89,24.97,12.84,12.84,0,4.49,-3.34
692009,2015,6,21.98,9.32,15.65,2.26,22.28,62.46,73.71,73.71,0,668.32,31.3,26.72,26.72,0,4.5,4.14
692009,2015,7,23.98,11.93,17.96,2.31,23.16,63.55,108.27,108.27,0,718.06,33.3,35.8,35.8,0,5.61,8.14
692009,2015,8,23.74,10.25,16.99,1.99,18.02,61.67,45.87,45.87,0,558.56,31.3,18.22,18.22,0,3.47,1.71
692009,2015,9,15.5,4.37,9.93,2.08,11.97,74.98,84.3,84.3,0,358.99,27.5,19.92,19.92,0,3.2,0.23
692009,2015,10,12.29,1,6.64,2.52,8.49,75.29,25.61,25.61,0,263.19,21.44,12.16,12.16,0,4.98,-4.07
692009,2015,11,0.84,-6.99,-3.07,2.45,3.53,84.06,43.96,14.72,29.24,105.89,8.01,14.72,14.72,7.26,4.38,-19.97
692009,2015,12,-5,-12.32,-8.66,2.1,2.52,92.18,14.14,0,14.14,78.03,2.73,6.27,0,6.27,4.25,-22.51
727006,2015,1,-4.84,-12.62,-8.73,3.48,3.69,90.1,23.83,1.73,22.1,114.36,7.55,10.39,1.73,10.39,6.26,-31.56
727006,2015,2,-4.69,-13.83,-9.26,3.54,7.34,87.99,27.33,0,27.33,205.51,7.33,10.74,0,10.74,6.12,-19.58
727006,2015,3,6.84,-4.69,1.07,3.55,13.18,75.67,27.04,7.78,19.26,408.47,17.41,12.07,3.33,12.07,8.37,-19.44
727006,2015,4,11.51,-0.92,5.29,3.39,16.81,64.8,34.48,30.46,4.02,504.36,25.55,15.95,15.95,4.02,7.44,-4.64
727006,2015,5,16.77,2.77,9.77,2.93,23.79,59.08,32.8,28.52,4.28,737.49,25.83,12.89,12.89,4.28,4.68,-3.6
727006,2015,6,22.3,9.69,16,2.41,22.49,62.3,62.57,62.57,0,674.78,31.48,25.22,25.22,0,3.92,4.9
727006,2015,7,24.31,12.34,18.33,2.45,22.69,62.69,88.91,88.91,0,703.48,33.06,31.1,31.1,0,5.53,8.33
727006,2015,8,24.17,10.76,17.46,2.19,18.38,60.96,33.61,33.61,0,569.77,30.95,14.43,14.43,0,3.5,2.8
727006,2015,9,15.88,4.62,10.25,2.38,12.36,74.16,69.01,69.01,0,370.87,27.09,24.86,24.86,0,3.83,0.41
727006,2015,10,12.6,1.2,6.9,2.79,8.79,75.21,29.33,29.33,0,272.43,22.31,11.95,11.95,0,5.05,-4.42
727006,2015,11,0.75,-6.24,-2.75,2.8,3.7,85.04,31.97,8.63,23.34,110.9,7.05,12.33,6.53,12.33,5.41,-16.63
727006,2015,12,-5.56,-11.61,-8.59,2.49,2.71,92.38,11.39,0.72,10.67,83.97,3.4,4.28,0.72,4.28,4.7,-20.57
767001,2015,1,-7.49,-16.68,-12.09,3.83,4.41,92.52,17.74,0,17.74,136.85,6.26,7.64,0,7.64,7.02,-37.58
767001,2015,2,-8.43,-18.38,-13.41,4.03,8.25,89.26,24.01,0,24.01,231.02,1.46,10.75,0,10.75,7.43,-27.69
767001,2015,3,5.27,-5.26,0.01,4.02,13.25,76.42,19.33,3.84,15.49,410.88,19.1,10.03,2.56,10.03,7.99,-25.27
767001,2015,4,12.17,-0.65,5.76,3.9,18.28,59.3,11.12,9.76,1.36,548.31,23.85,6.75,6.75,0.79,8.24,-5.61
767001,2015,5,17.48,3.01,10.24,2.93,24.24,51.56,6.19,6.19,0,751.47,26.31,2.93,2.93,0,4.56,-3.42
