POLYID,Year,Month,meanTmax,meanTmin,meanTmean,meanWindSpeed,meanRad,meanRH,sumPrecip,sumRain,sumSnow,sumRad,maxTmax,maxDailyPrecip,maxDailyRain,maxDailySnow,maxDailyWindSpeed,minTmin
425023,1995,1,-3.6,-12.26,-7.93,1.3,5.96,95.31,103.35,61,42.35,184.84,10.12,24.45,24.45,10.17,2.9,-31.91
425023,1995,2,-6.93,-18.22,-12.58,1.98,8.88,93.32,39.06,0,39.06,248.62,0.96,14,0,14,3.83,-30.84
425023,1995,3,5.48,-5.99,-0.26,1.24,13.17,85.82,43.48,9.58,33.9,408.29,16.48,13.83,2.32,13.83,2.48,-21.18
425023,1995,4,8.21,-2.82,2.69,0.83,17.6,73.16,50.77,43.36,7.41,527.97,17.46,12.98,12.98,3.59,1.96,-11.5
425023,1995,5,17.97,5.73,11.85,0.38,18.5,75.62,73.21,73.21,0,573.49,25.01,17.24,17.24,0,0.55,-4.05
425023,1995,6,24.7,12.27,18.48,0.34,24.41,74.62,89.47,89.47,0,732.17,30.49,29.08,29.08,0,0.45,6.55
425023,1995,7,25.97,15.18,20.58,0.33,19.29,78.4,100.02,100.02,0,598.09,30.32,26,26,0,0.45,9.1
425023,1995,8,26.06,13.81,19.94,0.32,19.22,72.39,72.17,72.17,0,595.79,31.19,22.48,22.48,0,0.52,8.76
425023,1995,9,18.99,6.39,12.69,0.36,14.05,71.28,66.55,66.55,0,421.38,26.59,20.44,20.44,0,0.52,1.39
425023,1995,10,14.36,5.01,9.68,0.37,8.14,81.13,166.65,166.65,0,252.31,23.38,41.73,41.73,0,0.66,-3.92
425023,1995,11,1.21,-7.4,-3.1,0.48,5.96,89.8,105.57,57.46,48.11,178.95,13.76,24.45,24.45,16.06,0.78,-20.24
425023,1995,12,-7.47,-16.2,-11.83,0.74,5.55,99.26,55.49,0,55.49,172.05,0.09,13.22,0,13.22,1.16,-29.75
570007,1995,1,0.04,-5.6,-2.78,4.59,6.02,87.2,48.07,30.97,17.1,186.66,11.8,15.4,15.4,3.75,7.7,-12.33
570007,1995,2,-1.7,-9.09,-5.39,4.77,9.13,81.47,16.33,1.9,14.43,255.76,7.26,6.95,0.68,6.95,8.37,-17.85
570007,1995,3,7.22,-2.9,2.16,3.49,11.85,75.91,30.11,23.27,6.84,367.44,19.32,11.56,11.56,3.89,6.93,-12.5
570007,1995,4,10.53,0.54,5.54,4.29,14.78,72.25,68.44,63.25,5.19,443.53,17.36,19.68,19.68,5.19,7.06,-6.1
570007,1995,5,18.13,7.6,12.86,3.34,18.3,71.45,63.2,63.2,0,567.25,23.43,17.21,17.21,0,6.05,2.32
570007,1995,6,25.24,14.67,19.95,2.43,21.55,72.46,42.6,42.6,0,646.43,33.26,14.61,14.61,0,4.55,8.61
570007,1995,7,26.98,17.53,22.25,2.86,20.8,75.01,66.14,66.14,0,644.91,33.39,25.66,25.66,0,4.94,11.22
570007,1995,8,28.67,19.04,23.86,2.5,17.89,73.34,64.63,64.63,0,554.72,32.34,21.39,21.39,0,4.87,14.2
570007,1995,9,21.65,11.02,16.34,2.94,15.76,67.74,20.31,20.31,0,472.78,29.46,8,8,0,5.32,2.62
570007,1995,10,16.11,6.9,11.51,4.31,9.16,75.84,67.69,67.69,0,284.1,24.56,24.55,24.55,0,7.59,2.1
570007,1995,11,4.94,-1.71,1.61,4.42,7.02,79.82,60.96,52.9,8.06,210.63,18.2,19.65,19.65,3.23,9.63,-6.24
570007,1995,12,-0.86,-6.67,-3.76,4.52,6.12,82.08,19.01,8.4,10.61,189.72,7.44,6.41,6.41,2.47,8.63,-12.98
692009,1995,1,-7.03,-14.65,-10.84,1.8,3.88,92,12.33,0,12.33,120.33,2.3,5.93,0,5.93,2.91,-24.35
692009,1995,2,-3.84,-12.54,-8.19,3.2,7.35,83.4,13.02,1.48,11.54,205.71,7.01,5.84,1.48,5.84,7.17,-23.18
692009,1995,3,3.54,-7.26,-1.86,2.87,12.92,75.16,21.37,14.91,6.46,400.45,15.34,8.72,8.72,2.59,5.32,-21.42
692009,1995,4,8.55,-2.39,3.08,3.28,15.44,67.62,20.98,17.34,3.64,463.06,15.96,10.01,10.01,2.44,5.71,-10.67
692009,1995,5,16.46,2.93,9.69,2.4,20.76,64.23,43.95,43.95,0,643.66,28.68,18.67,18.67,0,3.97,-3.28
692009,1995,6,21.41,8.37,14.89,2.36,21.6,62.41,49.65,49.65,0,648.15,26.48,16.64,16.64,0,4.41,2.26
692009,1995,7,21.47,10.51,15.99,2.07,19.2,67.39,98.82,98.82,0,595.31,27.83,25.97,25.97,0,3.87,6.5
692009,1995,8,18.02,7.41,12.71,2.19,15.28,75.22,114.96,114.96,0,473.67,28.91,30.02,30.02,0,5.71,4.08
