POLYID,Year,Month,meanTmax,meanTmin,meanTmean,meanWindSpeed,meanRad,meanRH,sumPrecip,sumRain,sumSnow,sumRad,maxTmax,maxDailyPrecip,maxDailyRain,maxDailySnow,maxDailyWindSpeed,minTmin
425023,1994,1,-13.58,-26.48,-20.03,1.39,6.5,97.9,88.25,0,88.25,201.56,0.43,24.07,0,24.07,2.18,-42.24
425023,1994,2,-9.51,-19.99,-14.75,1.68,10.58,96.69,56,0,56,296.24,0.71,19.73,0,19.73,2.87,-36.72
425023,1994,3,-1.29,-10.18,-5.73,1.17,14.07,96.24,68.38,0,68.38,436.13,4.36,21.43,0,21.43,1.88,-21.02
425023,1994,4,9.96,-0.65,4.66,0.78,16.56,84.6,96.69,76.41,20.28,496.67,21.3,23.54,23.54,8.42,1.3,-7.89
425023,1994,5,16.93,4.83,10.88,0.39,19.28,79.2,96.29,96.29,0,597.54,26.76,24.13,24.13,0,0.62,-1.45
425023,1994,6,23.63,12.87,18.25,0.34,20.09,79.78,143.01,143.01,0,602.57,31.95,35.94,35.94,0,0.45,5.36
425023,1994,7,25.18,15.28,20.23,0.31,20.16,83.22,82.88,82.88,0,625.02,29.72,24.82,24.82,0,0.41,9.48
425023,1994,8,22.89,12.03,17.46,0.36,18.49,80.59,86.63,86.63,0,573.21,27.37,24.89,24.89,0,0.47,6.59
425023,1994,9,19.87,8.75,14.31,0.33,13.63,79.52,57.9,57.9,0,408.9,25.66,16.96,16.96,0,0.46,4.16
425023,1994,10,13.93,3.17,8.55,0.32,9.6,78.98,19.68,19.68,0,297.66,21.13,6.9,6.9,0,0.52,-2.52
425023,1994,11,7.21,-2.17,2.52,0.54,5.33,80.39,95.02,71.14,23.88,159.94,16.23,27.12,27.12,15.17,1,-12.24
425023,1994,12,-1.27,-9.5,-5.39,0.75,4.36,91.11,45.73,20.11,25.62,135.09,6.28,11.81,11.81,7.08,2.14,-21.3
570007,1994,1,-5.42,-12.12,-8.77,5.03,7,87.76,50.69,9.72,40.97,217.05,3.42,14.24,9.72,14.24,7.88,-23.13
570007,1994,2,-1.73,-9.92,-5.83,4.77,10.21,83.89,26.91,0,26.91,285.85,14.04,10.42,0,10.42,7.97,-16.95
570007,1994,3,5.49,-3.68,0.91,3.79,14.23,77.89,45.55,36.47,9.08,440.98,17.75,14.78,14.78,2.55,7.63,-9.32
570007,1994,4,13.07,2.23,7.65,4.5,18.19,73.37,85.33,85.33,0,545.84,24.15,20.27,20.27,0,8.02,-3.6
570007,1994,5,17.57,5.99,11.78,3.49,21.15,70.62,30.44,30.44,0,655.62,27.58,9.73,9.73,0,6.53,0.6
570007,1994,6,24.93,13.81,19.37,2.78,21.52,71.7,102.16,102.16,0,645.74,33.14,28.07,28.07,0,4.77,4.51
570007,1994,7,25.84,16.77,21.3,2.63,21.27,76.59,64.1,64.1,0,659.44,30,21.05,21.05,0,4.6,11.89
570007,1994,8,24.35,14.77,19.56,2.72,18.31,75.21,67.85,67.85,0,567.54,28.84,27.24,27.24,0,5.17,10.83
570007,1994,9,22.65,12.01,17.32,2.94,15.72,71.8,45.41,45.41,0,471.59,29.61,17.3,17.3,0,5.35,6.15
570007,1994,10,16.17,6.77,11.47,3.18,10.64,75.7,36.92,36.92,0,329.74,21.92,13.02,13.02,0,5.24,1.74
570007,1994,11,10.08,2.55,6.32,4.75,5.94,79.18,53.51,48.89,4.62,178.29,16.45,14.12,14.12,4.62,9.3,-4.73
570007,1994,12,4.22,-2.51,0.85,3.35,5,86.98,46.81,23.83,22.98,154.94,11.69,13.57,5.27,13.57,6.03,-8.95
692009,1994,1,-10.98,-18.86,-14.92,2.63,3.77,95.27,52.19,0,52.19,116.75,1.28,19.93,0,19.93,5.59,-33.24
692009,1994,2,-12.69,-23.55,-18.12,3,7.38,93.56,19.98,0,19.98,206.54,1.58,9.83,0,9.83,4.7,-40.13
692009,1994,3,5.64,-4.92,0.36,3.11,12.64,75.9,15.24,8.13,7.11,391.96,16.92,6.92,6.92,2.16,5.95,-16.33
692009,1994,4,11.79,-1.37,5.21,2.77,17.98,64.41,6.37,6.37,0,539.48,21.83,3.71,3.71,0,4.62,-5.63
692009,1994,5,16.89,4.25,10.57,2.72,18.6,63.96,66.3,66.3,0,576.49,25.51,20.3,20.3,0,5.06,-1.24
692009,1994,6,19.04,7.55,13.29,2.51,21.23,70.63,115.03,115.03,0,636.89,26.75,35.62,35.62,0,6.03,1.63
692009,1994,7,23.48,11.24,17.36,2.28,21.41,67.66,68.21,68.21,0,663.8,31.42,19.31,19.31,0,4.52,7.72
692009,1994,8,21.39,10.01,15.7,2.11,15.76,70.85,128.61,128.61,0,488.47,31.33,33.85,33.85,0,4.15,3.62
692009,1994,9,19.78,6.2,12.99,2.22,13.34,66.73,36.21,36.21,0,400.3,26.08,14.33,14.33,0,5.13,1.11
692009,1994,10,9.6,-0.9,4.35,2.75,7.94,72.6,23.76,22.15,1.61,246.01,16.87,11.47,11.47,1.61,5.7,-4.74
692009,1994,11,-0.62,-8.78,-4.7,2.4,4.49,78.81,18.01,0,18.01,134.77,4.19,8.73,0,8.73,5.11,-15.41
692009,1994,12,-5.31,-13.02,-9.17,2.52,2.71,88.11,15.66,0,15.66,84.13,2.6,5.65,0,5.65,4.8,-25.62
