POLYID,Year,Month,meanTmax,meanTmin,meanTmean,meanWindSpeed,meanRad,meanRH,sumPrecip,sumRain,sumSnow,sumRad,maxTmax,maxDailyPrecip,maxDailyRain,maxDailySnow,maxDailyWindSpeed,minTmin
425023,1997,1,-7.62,-18.99,-13.31,1.64,6.14,94.59,106.69,0,106.69,190.39,2.55,25.95,0,25.95,2.93,-35.23
425023,1997,2,-5.59,-18.15,-11.87,1.47,8.93,96.93,88.51,0,88.51,250.14,0.63,29.21,0,29.21,2.86,-33.49
425023,1997,3,-2.37,-13.35,-7.86,1.4,14.73,96.53,88.78,3.74,85.04,456.61,9.45,21.61,3.74,21.61,2.56,-26.24
425023,1997,4,9.46,-1.8,3.83,0.76,18.88,81.28,66.8,59.11,7.69,566.27,19.51,19.63,19.63,4.96,1.77,-11.75
425023,1997,5,14.37,3.62,9,0.45,17.92,77.87,77.27,77.27,0,555.63,22.01,19.78,19.78,0,0.8,-2.98
425023,1997,6,23.78,12.24,18.01,0.33,24.11,78.49,59.19,59.19,0,723.26,28.38,17.8,17.8,0,0.46,6.48
425023,1997,7,24.44,13.83,19.14,0.32,21.46,79.08,86.57,86.57,0,665.2,28.73,20.88,20.88,0,0.45,9.4
425023,1997,8,23.12,12.55,17.83,0.32,17.77,77.14,87.99,87.99,0,550.99,28.73,27.26,27.26,0,0.48,8.41
425023,1997,9,19.38,8.67,14.02,0.33,12.15,78.79,86.46,86.46,0,364.45,25.76,27.28,27.28,0,0.48,0.44
425023,1997,10,11.95,1.67,6.81,0.35,10.15,77.95,52.66,39.39,13.27,314.65,23.76,18.05,18.05,5.82,0.62,-6.66
425023,1997,11,3.28,-4.4,-0.56,0.43,6.01,89.75,99.66,64.39,35.27,180.27,14.74,28.03,28.03,6.78,0.83,-14.22
425023,1997,12,-4.84,-14.2,-9.52,0.74,5.18,97.93,50.5,0,50.5,160.64,1.26,12.61,0,12.61,1.74,-31.41
570007,1997,1,-1.39,-8.35,-4.87,5.54,6.73,84.84,28.29,4.96,23.33,208.75,11.54,9.23,1.84,9.23,9.2,-17.35
570007,1997,2,1.9,-5.9,-2,4.34,10.43,82.77,54.2,47.14,7.06,291.95,13.44,13.54,13.54,1.68,7.84,-13.6
570007,1997,3,5.44,-3.05,1.19,4.59,12.51,77.49,52.42,26.08,26.34,387.96,17.05,16.58,6.66,16.58,7.77,-9.85
570007,1997,4,11.5,0.77,6.13,3.73,18.14,70.09,23.08,23.08,0,544.2,20.18,7.87,7.87,0,8.56,-4.97
