POLYID,Year,Month,meanTmax,meanTmin,meanTmean,meanWindSpeed,meanRad,meanRH,sumPrecip,sumRain,sumSnow,sumRad,maxTmax,maxDailyPrecip,maxDailyRain,maxDailySnow,maxDailyWindSpeed,minTmin
425023,1998,1,-5.94,-15.37,-10.65,1.31,6.46,97.57,123.79,0,123.79,200.31,2.66,29.56,0,29.56,2.3,-32.99
425023,1998,2,-2.85,-12.62,-7.74,1.44,10.12,96.82,45.39,0,45.39,283.33,0.51,14.27,0,14.27,3.87,-29.64
425023,1998,3,1.39,-7.34,-2.97,1.25,13.04,95.98,107.85,68.74,39.11,404.24,21.17,29.62,29.62,12.81,2.46,-25.79
425023,1998,4,13.02,0.23,6.62,0.75,20.2,75.65,61.26,61.26,0,605.9,21.01,17.37,17.37,0,1.33,-4.73
425023,1998,5,21.53,9.4,15.46,0.36,21.16,75.71,84.38,84.38,0,656.1,27.15,21.47,21.47,0,0.5,2.95
425023,1998,6,22.93,13.36,18.14,0.32,18.43,80.5,145.47,145.47,0,552.77,30.59,25.12,25.12,0,0.58,4.37
425023,1998,7,24.32,14.53,19.43,0.34,21.26,80.57,92.63,92.63,0,658.91,28.95,25.71,25.71,0,0.44,9.57
425023,1998,8,24.64,14.42,19.53,0.3,17.79,79.93,67.81,67.81,0,551.62,29.37,18.41,18.41,0,0.41,8.36
425023,1998,9,20.96,9.64,15.3,0.31,13.97,77.98,74.03,74.03,0,419.03,27.16,27.07,27.07,0,0.4,2.55
425023,1998,10,14.02,3.97,8.99,0.33,10.09,78.21,70.9,70.9,0,312.64,20.57,17.46,17.46,0,0.55,-1.06
425023,1998,11,5.37,-2.06,1.66,0.48,5.49,82.63,49.33,45.31,4.02,164.83,13.91,13.52,13.52,1.67,0.76,-5.79
425023,1998,12,1.78,-7.36,-2.79,0.88,4.8,86.29,57.68,17.31,40.37,148.7,14.36,14.31,6.6,14.31,1.92,-26.77
570007,1998,1,2.03,-3.47,-0.72,4.25,6.78,86.83,49.33,38.77,10.56,210.24,10.98,15.6,15.6,2.88,8.34,-13.15
570007,1998,2,4.88,-2.1,1.39,3.4,9.75,82.63,41.33,41.33,0,272.89,12.93,16.74,16.74,0,7.7,-6.2
570007,1998,3,6.47,-0.87,2.8,4.78,12.74,80.36,61.21,53.96,7.25,394.85,21.59,18.1,18.1,5,8.23,-9.41
570007,1998,4,13.99,3.4,8.7,3.61,18.88,70.13,46.07,46.07,0,566.31,19.47,12.51,12.51,0,8.79,-2.7
570007,1998,5,22.83,11.67,17.25,3.17,21.54,71.96,29.69,29.69,0,667.87,28.8,10.3,10.3,0,6.19,6.93
570007,1998,6,24.76,15.05,19.9,3.02,21.14,71.61,59.2,59.2,0,634.29,31.11,18.9,18.9,0,5.8,6.94
570007,1998,7,27.79,17.77,22.78,2.85,22.6,66.36,69.37,69.37,0,700.53,32.45,20.41,20.41,0,4.93,13.11
570007,1998,8,27.23,18.27,22.75,2.48,19.3,72.24,101.43,101.43,0,598.23,31.18,39.23,39.23,0,4.6,11.94
570007,1998,9,25.42,15.28,20.35,3.07,16.3,67.9,30.84,30.84,0,488.97,31.26,11.76,11.76,0,5.19,10.07
570007,1998,10,17.1,7.99,12.55,3.49,11.1,74.19,31.45,31.45,0,344.11,24.99,12.38,12.38,0,6.14,4.07
570007,1998,11,10.11,2.59,6.35,4.41,6.16,77.83,36.2,36.2,0,184.76,18.04,12.94,12.94,0,9.38,-1.29
570007,1998,12,5.69,-1.99,1.85,4.41,5.77,81.14,43.64,38.11,5.53,178.83,16.74,11.18,11.18,2.41,7.31,-11.58
692009,1998,1,-11.36,-18.25,-14.8,2.07,3.96,91.22,21.65,0,21.65,122.79,2.51,8.32,0,8.32,3.59,-28.39
692009,1998,2,1.68,-7.53,-2.93,2.09,7.36,82.7,3.43,0.24,3.19,206.16,8.8,1.96,0.24,1.96,4.2,-13.41
692009,1998,3,2.8,-6.65,-1.92,3.1,11.83,76.64,20.29,14.38,5.91,366.78,12.16,8.06,8.06,2.03,6.93,-18.45
692009,1998,4,12.77,-0.34,6.22,2.6,18.91,64.3,22.67,22.67,0,567.27,21.26,11.73,11.73,0,5.27,-4.29
692009,1998,5,20.43,6.44,13.44,2.61,22.36,58.12,44.56,44.56,0,693.22,26.44,14.8,14.8,0,5.31,1.61
692009,1998,6,19.27,8.2,13.74,2.32,21.22,65.7,134.95,134.95,0,636.73,28.33,38.29,38.29,0,6.02,1.44
692009,1998,7,22.93,12.08,17.51,2.23,22.35,72.34,84.21,84.21,0,692.71,28.18,32.05,32.05,0,4.24,6.37
692009,1998,8,24.33,11.77,18.05,2.07,19.19,63.16,76.58,76.58,0,594.93,34.03,29.43,29.43,0,3.7,7.71
692009,1998,9,18.95,5.81,12.38,2.34,13.22,65.04,35.9,35.9,0,396.68,29.52,18.05,18.05,0,3.72,-0.34
692009,1998,10,10.72,-0.02,5.35,2.22,7,79.44,58.67,56.55,2.12,216.93,19.73,22.31,22.31,2.12,4.31,-4.18
692009,1998,11,-0.83,-8.12,-4.47,2.23,4.19,89.21,31.51,1.23,30.28,125.84,4.01,12.19,1.23,12.19,4.66,-15.98
692009,1998,12,-7.3,-15.81,-11.56,3.03,2.58,90.18,23.13,0,23.13,80.12,3.25,7.28,0,7.28,7.77,-30.69
727006,1998,1,-12.4,-18.75,-15.58,2.38,3.76,90.91,22.34,0,22.34,116.63,1.79,9.16,0,9.16,3.88,-29.27
727006,1998,2,0.44,-8.48,-4.02,2.16,7.91,87.62,2.77,0,2.77,221.36,7.47,1.46,0,1.46,4.09,-15.85
727006,1998,3,2.99,-7.01,-2.01,3.27,12.72,74.47,14.88,2.92,11.96,394.21,12.55,7.88,1.2,7.88,6.92,-19.89
727006,1998,4,13.37,0.05,6.71,2.9,19.04,61.98,27.13,27.13,0,571.27,21.33,13.7,13.7,0,5.5,-4.32
727006,1998,5,20.9,6.75,13.83,2.76,23.51,56.69,29.59,29.59,0,728.87,26.82,11.51,11.51,0,6.04,0.99
727006,1998,6,20.42,9.06,14.74,2.39,20.75,62.42,106.94,106.94,0,622.52,27.98,36.97,36.97,0,6.43,2.24
727006,1998,7,24,12.72,18.36,2.51,21.26,66.81,68.86,68.86,0,659.03,29.01,25.35,25.35,0,5.09,5.5
727006,1998,8,25.37,12.36,18.86,2.18,18.91,59.03,50.31,50.31,0,586.21,34.19,19.69,19.69,0,3.48,7.43
727006,1998,9,19.36,6.11,12.73,2.51,12.92,62.96,31,31,0,387.68,30.87,15.45,15.45,0,4.17,-0.37
727006,1998,10,10.78,0.4,5.6,2.48,7.42,78.12,48.87,46.25,2.62,230.05,19.87,22.34,22.34,2.62,4.75,-4.94
727006,1998,11,-1.24,-7.96,-4.6,2.42,3.84,88.23,26.18,2.02,24.16,115.08,4.35,12.29,2.02,12.29,5.17,-15.88
727006,1998,12,-8.08,-15.69,-11.89,3.41,2.45,89.81,21.17,0,21.17,76.01,2.78,8.48,0,8.48,8.63,-29.72
767001,1998,1,-13.33,-20.18,-16.75,3.31,4.43,91.72,25.67,0,25.67,137.32,-0.92,9.22,0,9.22,5.2,-30.95
767001,1998,2,-0.92,-9.43,-5.18,2.75,8.3,91.58,6.2,0,6.2,232.44,6.15,3.14,0,3.14,4.97,-18.29
767001,1998,3,1.76,-8.6,-3.42,3.14,13.84,72.09,7.24,2.31,4.93,429.1,16.65,3.65,0.91,3.65,5.31,-21.66
767001,1998,4,13.94,0.65,7.29,3.36,19.53,56.52,17.81,17.81,0,585.79,24.23,11.26,11.26,0,7.55,-4.58
767001,1998,5,21.35,7.04,14.2,3.18,24.09,48.53,14.81,14.81,0,746.77,28.82,7.02,7.02,0,6.59,-0.6
767001,1998,6,20.57,9.17,14.87,2.4,19.36,59.25,81.02,81.02,0,580.66,27.61,31.65,31.65,0,4.56,-0.35
767001,1998,7,25.89,13.64,19.76,2.76,22.48,57.59,48.55,48.55,0,696.78,31.9,17.53,17.53,0,6.62,8.02
767001,1998,8,27.84,13.9,20.87,2.8,19.43,48.53,18.24,18.24,0,602.37,35.23,9.21,9.21,0,4.72,8.68
767001,1998,9,20.17,7.07,13.62,2.81,13.26,55.37,35.61,35.61,0,397.76,31.73,19.86,19.86,0,4.76,-0.76
767001,1998,10,11.51,0.9,6.2,3.18,7.98,71.24,17.99,15.68,2.31,247.52,19.72,11.04,11.04,1.64,7.77,-5.42
767001,1998,11,-0.46,-7.29,-3.87,3.03,4.15,84.42,17.74,4.73,13.01,124.55,5.87,7.99,3.35,7.99,5.38,-14.56
767001,1998,12,-8.36,-15.5,-11.93,3.98,3.16,85.65,19.34,0,19.34,98.04,4.65,7.83,0,7.83,7.86,-30.24
793011,1998,1,-5.48,-13.56,-9.52,2.71,5.16,84.99,13.85,0,13.85,159.87,6.58,6.7,0,6.7,4.66,-26.75
793011,1998,2,5.92,-3.98,0.97,2.6,9.66,70.81,1.66,0.38,1.28,270.44,11.51,0.76,0.24,0.76,6.38,-8.67
793011,1998,3,5.08,-5.22,-0.07,3.04,12.94,70.14,43.1,11.61,31.49,401.2,15.86,14.06,9.12,14.06,6.62,-13.88
793011,1998,4,14.99,1.6,8.29,2.75,19.69,58,31.31,31.31,0,590.75,25.05,13.86,13.86,0,5.53,-3.99
793011,1998,5,21.73,7.57,14.65,3.04,23.94,49.26,48.29,48.29,0,742.22,29.08,15.85,15.85,0,5.15,3.48
793011,1998,6,20.44,9.52,14.98,2.75,21.05,60.68,123.42,123.42,0,631.39,27.08,32.5,32.5,0,6.14,1.46
793011,1998,7,28.84,15.48,22.16,2.3,25.4,52.48,31.86,31.86,0,787.46,34.83,11.08,11.08,0,5.18,11.3
793011,1998,8,29.29,14.29,21.79,2.29,21.81,45.35,18.01,18.01,0,676.21,35.44,8.2,8.2,0,3.58,9.98
793011,1998,9,23.59,9.11,16.35,2.36,15.69,50.67,16.84,16.84,0,470.72,35.69,8.24,8.24,0,3.46,2.7
793011,1998,10,14.94,2.2,8.57,2.69,9.58,59.78,7.2,7.2,0,297.08,21.21,5.05,5.05,0,4.73,-3.77
793011,1998,11,5.02,-2.52,1.25,3.08,5.32,75.34,9.37,0.77,8.6,159.68,12.55,5.43,0.77,5.43,6.77,-8.73
793011,1998,12,-1.75,-9.81,-5.78,3.84,3.88,71.46,19.37,1.53,17.84,120.31,9.23,7.47,1.53,7.47,7.38,-23.15
825005,1998,1,-8.15,-16.66,-12.4,3.28,4.84,89.14,22.02,0,22.02,149.91,3.31,12.7,0,12.7,5.31,-30.7
825005,1998,2,4.22,-5.5,-0.64,3.08,8.36,79.62,8.65,4.5,4.15,234.13,12.94,4.15,1.8,4.15,6.27,-14.1
825005,1998,3,3.71,-7.21,-1.75,3.41,13.45,69.15,16.83,4.64,12.19,416.8,16.28,8.86,2.17,8.86,7.84,-19.21
825005,1998,4,15.65,1.63,8.64,3.5,18.88,53.6,22.26,22.26,0,566.52,25.79,11.71,11.71,0,6.62,-4.97
825005,1998,5,21.27,6.92,14.1,3.37,23.39,50.16,34.06,34.06,0,725.18,27.8,11.55,11.55,0,6.3,0.9
825005,1998,6,21.45,9.78,15.61,2.88,19.92,56,91.75,91.75,0,597.56,28.44,28.74,28.74,0,6.02,-0.42
825005,1998,7,29.01,15.56,22.29,2.89,24.28,48.62,26.88,26.88,0,752.8,35.3,11.96,11.96,0,5.92,9.93
825005,1998,8,29.32,15.17,22.24,2.64,19.84,46.71,28.49,28.49,0,614.93,35.05,13.05,13.05,0,4.88,11
825005,1998,9,23.28,8.81,16.04,2.89,14.28,50.31,26.25,26.25,0,428.32,33.38,15.2,15.2,0,5.06,-0.13
825005,1998,10,13.7,1.57,7.64,3.25,8.24,67.23,42.35,39.19,3.16,255.36,21.41,23.46,23.46,3.16,7.6,-5.6
825005,1998,11,3.39,-4.1,-0.35,3.66,4.9,77.37,24.29,16.53,7.76,147.06,14.01,11.43,11.43,4.46,7.46,-10.75
825005,1998,12,-4,-11.72,-7.86,4.22,3.61,75.71,22.33,1.83,20.5,111.99,9.33,8.55,1.83,8.55,7.31,-25.62
828001,1998,1,-5.48,-13.56,-9.52,2.71,5.16,84.99,13.86,0,13.86,159.87,6.58,6.32,0,6.32,4.66,-26.75
828001,1998,2,5.92,-3.98,0.97,2.6,9.66,70.81,1.67,0.27,1.4,270.44,11.51,0.82,0.27,0.82,6.38,-8.67
828001,1998,3,5.08,-5.22,-0.07,3.04,12.94,70.14,43.08,12.03,31.05,401.2,15.86,14.66,9.41,14.66,6.62,-13.88
828001,1998,4,14.99,1.6,8.29,2.75,19.69,58,31.31,31.31,0,590.75,25.05,13.58,13.58,0,5.53,-3.99
828001,1998,5,21.73,7.57,14.65,3.04,23.94,49.26,48.29,48.29,0,742.22,29.08,15.5,15.5,0,5.15,3.48
828001,1998,6,20.44,9.52,14.98,2.75,21.05,60.68,123.4,123.4,0,631.39,27.08,30.83,30.83,0,6.14,1.46
828001,1998,7,28.84,15.48,22.16,2.3,25.4,52.48,31.87,31.87,0,787.46,34.83,11.48,11.48,0,5.18,11.3
828001,1998,8,29.29,14.29,21.79,2.29,21.81,45.35,18,18,0,676.21,35.44,8.09,8.09,0,3.58,9.98
828001,1998,9,23.59,9.11,16.35,2.36,15.69,50.67,16.83,16.83,0,470.72,35.69,8.19,8.19,0,3.46,2.7
828001,1998,10,14.94,2.2,8.57,2.69,9.58,59.78,7.21,7.21,0,297.08,21.21,4.7,4.7,0,4.73,-3.77
828001,1998,11,5.02,-2.52,1.25,3.08,5.32,75.34,9.38,0.82,8.56,159.68,12.55,4.92,0.82,4.92,6.77,-8.73
828001,1998,12,-1.75,-9.81,-5.78,3.84,3.88,71.46,19.38,2.32,17.06,120.31,9.23,5.96,2.32,5.96,7.38,-23.15
