POLYID,Year,Month,meanTmax,meanTmin,meanTmean,meanWindSpeed,meanRad,meanRH,sumPrecip,sumRain,sumSnow,sumRad,maxTmax,maxDailyPrecip,maxDailyRain,maxDailySnow,maxDailyWindSpeed,minTmin
425023,1996,1,-8.83,-19.53,-14.18,1.34,5.86,95.63,83.09,5.78,77.31,181.64,4.85,22.26,5.78,22.26,2.91,-35.7
425023,1996,2,-5.26,-15.01,-10.14,1.67,9.68,90.01,71.11,22.43,48.68,280.71,4.77,20.16,11.47,20.16,3.93,-25.86
425023,1996,3,1.61,-8.69,-3.54,1.41,15.31,78.33,29.4,18.71,10.69,474.71,13.94,11.41,11.41,2.71,2.7,-16.85
425023,1996,4,8.2,-1.77,3.21,0.8,16.36,81.05,119.33,119.33,0,490.81,15.05,28,28,0,1.2,-9.01
425023,1996,5,16.57,4.06,10.32,0.38,21.32,74.92,72.78,72.78,0,661.04,25.52,17.61,17.61,0,0.64,-0.24
425023,1996,6,22.45,12.41,17.43,0.32,18.19,82.7,88.49,88.49,0,545.8,28.54,21.58,21.58,0,0.44,7.65
425023,1996,7,23.06,13.65,18.35,0.34,18.64,83.07,147.88,147.88,0,577.97,26.97,40.48,40.48,0,0.66,9.88
425023,1996,8,24.36,13.12,18.74,0.31,20.08,79.38,50.72,50.72,0,622.51,28.84,16.75,16.75,0,0.45,7.8
425023,1996,9,20.89,10.89,15.89,0.33,12.96,80.84,117.86,117.86,0,388.83,28.49,33.72,33.72,0,0.47,3.76
425023,1996,10,11.94,2.33,7.14,0.36,8.21,79.69,103.15,103.15,0,254.44,21.27,26.82,26.82,0,0.57,-3.67
425023,1996,11,1.96,-5.48,-1.76,0.4,6.43,85.53,82.71,54.88,27.83,192.8,16.76,25.8,25.8,6.1,0.64,-13.73
425023,1996,12,-0.97,-7.6,-4.28,0.71,4.06,94.92,122.3,22.89,99.41,125.83,6.05,21.99,16.89,21.99,1.52,-28.05
570007,1996,1,-1.53,-7.86,-4.7,4.85,6.91,81.89,35.08,19.65,15.43,214.13,10.28,11.33,11.33,2.74,10.76,-14.49
570007,1996,2,-0.38,-7.45,-3.91,4.6,9.38,80.43,29.65,20.88,8.77,271.96,10.03,11.88,11.88,2.08,9,-19.69
570007,1996,3,3.12,-6.25,-1.57,4.77,14.43,73.85,29.61,7.89,21.72,447.4,14.65,10.32,3.98,10.32,10.62,-13.58
570007,1996,4,10.86,0.28,5.57,4.28,16.04,73.98,83.87,83.87,0,481.14,20.13,18.57,18.57,0,7.28,-4.65
570007,1996,5,17.06,6.38,11.72,3.52,18.79,72.68,58.32,58.32,0,582.56,25.55,17.27,17.27,0,5.99,-0.62
570007,1996,6,24.17,14.66,19.42,2.75,19.01,78.45,90.46,90.46,0,570.35,30.38,32.69,32.69,0,5.3,7.95
570007,1996,7,25.32,15.05,20.18,2.84,22.1,70.47,51.98,51.98,0,684.95,29.03,17.32,17.32,0,5.95,10.44
570007,1996,8,27.3,16.54,21.92,2.17,19.85,69.66,19.26,19.26,0,615.46,31.59,8.2,8.2,0,4.13,13.48
570007,1996,9,21.7,12.98,17.34,3.24,13.38,76.91,96.27,96.27,0,401.36,29.43,34.03,34.03,0,6.34,6.47
570007,1996,10,15.25,5.88,10.57,3.96,9.36,78.39,40.93,40.93,0,290.22,22.45,13.92,13.92,0,8.82,-0.94
570007,1996,11,4.43,-1.35,1.54,3.82,7.1,80.91,39.01,33.2,5.81,213.13,14.3,14.21,14.21,1.94,5.62,-4.65
570007,1996,12,2.2,-3.12,-0.46,4.27,4.73,86.48,45.5,39.89,5.61,146.53,9.69,11.52,11.52,2.36,8.23,-11.42
692009,1996,1,-14.65,-24.13,-19.39,2.4,3.8,94.89,28.67,0,28.67,117.66,2.61,10.18,0,10.18,4.2,-39.45
692009,1996,2,-3.9,-14.02,-8.96,2.84,7.33,88.44,10.28,0,10.28,212.46,2.93,4.78,0,4.78,6.94,-37.02
692009,1996,3,-0.74,-10.96,-5.85,3.32,12,78.15,20.6,2.83,17.77,372.13,14.71,8.22,1.64,8.22,8.53,-25.05
692009,1996,4,10.16,-1.26,4.45,2.85,16.25,73.86,47.27,42.33,4.94,487.51,18.8,18.9,18.9,4.94,6.4,-10.26
692009,1996,5,11.47,1.46,6.47,2.33,17.54,74.84,57.95,47.76,10.19,543.59,21.81,19.16,19.16,6.36,3.78,-6.68
692009,1996,6,17.94,6.63,12.28,2.57,19.52,71.78,118.69,118.69,0,585.67,26.33,38.56,38.56,0,6.45,1.81
