POLYID,Year,Month,meanTmax,meanTmin,meanTmean,meanWindSpeed,meanRad,meanRH,sumPrecip,sumRain,sumSnow,sumRad,maxTmax,maxDailyPrecip,maxDailyRain,maxDailySnow,maxDailyWindSpeed,minTmin
425023,1983,1,-6.46,-15.42,-10.94,1.29,5.77,93.69,60.19,0,60.19,178.79,1.67,20.24,0,20.24,1.98,-28.04
425023,1983,2,-4.98,-15.93,-10.45,1.55,9.42,96.2,61.75,0,61.75,263.87,2.06,18.83,0,18.83,2.48,-32.13
425023,1983,3,2.85,-6.69,-1.92,1.54,13.75,85.07,61.03,39.6,21.43,426.17,11.52,21.59,21.59,8.11,2.67,-18.02
425023,1983,4,9.24,-0.54,4.35,0.74,17.27,84.79,123.02,118.47,4.55,518.14,17.95,23.64,23.64,4.55,1.54,-5.95
425023,1983,5,15.36,4.29,9.83,0.39,19.19,81.55,131.4,131.4,0,594.9,21.84,26.13,26.13,0,0.58,-2.68
425023,1983,6,23.17,11.88,17.53,0.33,20.86,77.45,56.66,56.66,0,625.8,32.62,16.78,16.78,0,0.43,2.29
425023,1983,7,25.19,14.55,19.87,0.32,20.63,80.51,70.15,70.15,0,639.62,29.02,21.13,21.13,0,0.45,7.9
425023,1983,8,24.9,13.85,19.37,0.32,18.22,77.46,82.43,82.43,0,564.76,28.25,22.68,22.68,0,0.52,6.87
425023,1983,9,21.91,10.1,16,0.34,13.61,74.83,69.9,69.9,0,408.37,30.21,27.57,27.57,0,0.56,3.94
425023,1983,10,12.36,2.29,7.33,0.34,8.79,81.08,109.51,109.51,0,272.63,24.44,31.22,31.22,0,0.64,-5.11
425023,1983,11,3.03,-3.23,-0.1,0.49,5.58,91.28,128.16,75.93,52.23,167.48,12.55,31.15,31.15,14.28,0.8,-9.89
425023,1983,12,-7.66,-17.8,-12.73,0.86,4.42,97.95,137.06,0,137.06,137.03,0.13,29.92,0,29.92,1.81,-36.76
570007,1983,1,0.26,-5.52,-2.63,4.38,6.16,82.92,21.29,8.88,12.41,190.94,5.9,7.73,2.68,7.73,7.71,-12.99
570007,1983,2,2.75,-4.68,-0.96,3.32,9.35,82.26,25.05,17.75,7.3,261.68,10.65,10.7,10.7,2.04,5.77,-12.79
570007,1983,3,6.77,-1.81,2.48,4.03,13.01,79.93,51.44,39.57,11.87,403.35,15.76,13.54,13.54,7.12,7.67,-11.33
570007,1983,4,10.77,1.17,5.97,4.23,17.23,77.26,97.76,92.36,5.4,516.75,21.27,22.19,22.19,5.4,8.31,-4.17
570007,1983,5,16.07,5.49,10.78,3.7,20.01,75.07,106.58,106.58,0,620.19,21.11,24.01,24.01,0,7.23,-1.23
570007,1983,6,23.36,12.96,18.16,2.46,22.07,76.39,95.49,95.49,0,662.12,28.15,30.33,30.33,0,4.07,5.39
570007,1983,7,25.9,16.63,21.27,2.58,21.97,80.4,117.5,117.5,0,681.18,29.44,43.05,43.05,0,4.48,8.1
570007,1983,8,26.1,16.31,21.2,2.24,18.76,78.52,54.76,54.76,0,581.48,29.42,23.75,23.75,0,4.67,10.37
