params,totsi,totsi_lci,totsi_uci,singsi,singsi_lci,singsi_uci,sensitive_parameter_cutoff,driver,value,gsa_sample_n
f1,0.780514535375423,0.35899797647809706,1.0515084215716999,0.7551544943259463,0.6819786507209245,0.9124286784258828,0.05,location_name,"Ellerslie,Harrow",100
f2,0.003712004392483761,0.0021306566222094063,0.005118240980908703,0.03382607899058773,-0.24970809327638477,0.5134809692702746,0.05,location_name,"Ellerslie,Harrow",100
f3,0.02229493869687108,0.008606405325623276,0.029756548437495603,0.070985398337668107,-0.21237363362053477,0.5274397124532642,0.05,location_name,"Ellerslie,Harrow",100
f5,0.0013457992145907338,-1.4129208993820695e-4,0.0018840209518606126,0.038487237823109255,-0.2309528854266888,0.5199025940225754,0.05,location_name,"Ellerslie,Harrow",100
f6,0.023847077847365714,0.007098659174676232,0.03160118727610102,0.01569553398805698,-0.2574285210555251,0.49584904368342286,0.05,location_name,"Ellerslie,Harrow",100
f7,0.0015552012807536907,5.032840326717769e-4,0.0020764603012597103,0.04335538073917769,-0.22268594084231425,0.5168113963045263,0.05,location_name,"Ellerslie,Harrow",100
f8,7.71016999007662e-5,3.3027831681030774e-5,1.0018318565576439e-4,0.04478881127796154,-0.2239069574917246,0.5295481942507536,0.05,location_name,"Ellerslie,Harrow",100
k10,0,0,0,0.04403192009077534,-0.22497197457813378,0.5292673041620378,0.05,location_name,"Ellerslie,Harrow",100
k20,0,0,0,0.04403192009077534,-0.22497197457813378,0.5292673041620378,0.05,location_name,"Ellerslie,Harrow",100
k30,1.0658514767573953e-4,3.9152573600286146e-5,1.4302803783260653e-4,0.04219960873057299,-0.22620184363061369,0.5312604990649319,0.05,location_name,"Ellerslie,Harrow",100
k40,0.06261006855813216,0.027315512246673404,0.08348124586952732,0.16116275348915846,-0.09097379315841875,0.5719499323046909,0.05,location_name,"Ellerslie,Harrow",100
k50,1.9140755273207436e-5,1.1514853704633226e-5,2.444568564449825e-5,0.04328916323106488,-0.22436944502146317,0.5279156890815958,0.05,location_name,"Ellerslie,Harrow",100
plig,0,0,0,0.04403192009077534,-0.22497197457813378,0.5292673041620378,0.05,location_name,"Ellerslie,Harrow",100
tillfac_FT,0.04825565795869942,0.022644209480173427,0.06269537264742703,0.08401470285747598,-0.2050780719180864,0.6078780537159205,0.05,location_name,"Ellerslie,Harrow",100
tillfac_RT,0,0,0,0.04403192009077534,-0.22497197457813378,0.5292673041620378,0.05,location_name,"Ellerslie,Harrow",100
tmax,0.11096634458682283,0.039301001376177314,0.1497378754321595,0.10551593515019578,-0.17059297308425037,0.5983656281769207,0.05,location_name,"Ellerslie,Harrow",100
topt,0.048652278944734215,0.015060784042840156,0.06659732670222371,-0.010031658637718816,-0.31893334492137915,0.5006966490533202,0.05,location_name,"Ellerslie,Harrow",100
wfac_irri,0,0,0,0.04403192009077534,-0.22497197457813378,0.5292673041620378,0.05,location_name,"Ellerslie,Harrow",100
