parameter,2.5%,25%,median,75%,97.5%,map,mean,driver,value,sir_sample_n,sir_resample_n
f1,0.04103748827555684,0.16611803149280605,0.3050964128453052,0.5069284841755871,0.6885773483728409,0.1811588403237021,0.3469988728304937,location_name,"Ellerslie,Harrow",4,3
f2,0.09328622395934655,0.15332211246772204,0.22002865525480592,0.3001029808836756,0.3721698739496584,0.166482077390265,0.22894051048266312,location_name,"Ellerslie,Harrow",4,3
f3,0.23474769397056666,0.35185658372938633,0.48197757235029715,0.6385478076932487,0.779461019501905,0.37773022231088216,0.4996104034983243,location_name,"Ellerslie,Harrow",4,3
f5,0.05927773977935722,0.06377531072768033,0.06877261178137269,0.07767797044463805,0.08569279324157687,0.06406392645098045,0.07137798352108803,location_name,"Ellerslie,Harrow",4,3
f6,0.04308409363796819,0.07535639523790452,0.11121450812672266,0.13850467153970386,0.16306581861138694,0.13466915704475604,0.10550254180949803,location_name,"Ellerslie,Harrow",4,3
f7,0.3815311866946751,0.40603849217668175,0.4332688316011336,0.44054550353076777,0.4470945082674385,0.4403583996729177,0.4199663866045885,location_name,"Ellerslie,Harrow",4,3
f8,0.43986467288000863,0.4553190201779944,0.4724905171757564,0.4818502319284016,0.4902739752057823,0.4813943388116761,0.46728266234567856,location_name,"Ellerslie,Harrow",4,3
k10,17.239940153397907,17.58817762180406,17.97510814225534,18.654324108106085,19.265618477371753,17.617527738743963,18.169965105854985,location_name,"Ellerslie,Harrow",4,3
k20,4.454846264848195,4.636463663487811,4.838260773087386,5.022346264181542,5.188023206166283,4.9450738877828995,4.826453027417108,location_name,"Ellerslie,Harrow",4,3
k30,6.879671613237704,7.115950833359967,7.37848330016248,7.742848489438185,8.070777159786319,7.143148434932885,7.446371781811274,location_name,"Ellerslie,Harrow",4,3
k40,0.15382017937471973,0.17741919590817995,0.20364032538980245,0.24631493529822912,0.28472208421581313,0.17951025155941558,0.21460931234100522,location_name,"Ellerslie,Harrow",4,3
k50,0.006626964145791135,0.007616000280104345,0.008714929318230133,0.009270393311599037,0.00977031090563105,0.009247687317004604,0.00835261928839221,location_name,"Ellerslie,Harrow",4,3
plig,2.304738627804909,2.5352902291342616,2.7914586750557646,3.1616401558276266,3.4948034885223027,2.5621820817492393,2.867467364956004,location_name,"Ellerslie,Harrow",4,3
tillfac_FT,1.6832668868097242,1.9339079669851342,2.212398056068923,2.8736116754764227,3.468703932943172,1.935687516198601,2.4675470762847302,location_name,"Ellerslie,Harrow",4,3
tillfac_RT,1.8729204825125634,1.9642146293772385,2.0656525703379884,2.487395001051482,2.866963188693626,1.9705795163768933,2.2791888968398175,location_name,"Ellerslie,Harrow",4,3
tmax,41.088434008334296,42.031713481934275,43.07980178593425,44.258271661936305,45.31889455033816,42.3776209809355,43.16672283393564,location_name,"Ellerslie,Harrow",4,3
topt,31.578861417708456,31.715558395977133,31.867443927386777,32.68197411334608,33.41505128070945,31.723203915357995,32.309207030419884,location_name,"Ellerslie,Harrow",4,3
wfac_irri,1,1,1,1,1,0.9957585083820888,1,location_name,"Ellerslie,Harrow",4,3
