params,totsi,totsi.lci,totsi.uci,singsi,singsi.lci,singsi.uci
tillfac_FT,0.036222146019823834,0.03079688637692613,0.03910149142336532,-0.01639904846847783,-0.11710662181991605,0.08537416662947428
tillfac_RT,0,0,0,-0.05629922693862171,-0.15694302567620838,0.029409764182114842
wfac_irri,0,0,0,-0.05629922693862171,-0.15694302567620838,0.029409764182114842
k10,0,0,0,-0.05629922693862171,-0.15694302567620838,0.029409764182114842
k20,0,0,0,-0.05629922693862171,-0.15694302567620838,0.029409764182114842
k30,7.642165535638136e-5,6.58960473354691e-5,8.574764868804849e-5,-0.05679277375990046,-0.15759133674071618,0.028712279804984295
k40,0.0480841163271808,0.04201010806420147,0.05342805093498065,-0.00659038736129877,-0.10402381134365428,0.08475160755010003
k50,1.900884953373691e-5,1.47685533772626e-5,2.128845467431872e-5,-0.05590459834536352,-0.15652196261742943,0.02987860975433483
f1,0.7170335565855411,0.6457688141884516,0.7831249668352193,0.6985006971617433,0.6635780188825409,0.7331938431689619
f2,0.0037294088712108895,0.003204299948989707,0.004320930980023653,-0.05474526257166845,-0.14920252822210656,0.033433206157927636
f3,0.026399011330437646,0.021718871997363803,0.030169967490103675,-0.03656266062879597,-0.14127504960170315,0.05833566141390362
f5,0.0011986843090968065,9.740204823901033e-4,0.0013577484615305486,-0.060417895118440715,-0.16090606041737826,0.02584116324062055
f6,0.0224066717921284,0.01782838760280997,0.024885275561389263,-0.02867854606463169,-0.1335520721227154,0.05663746821062058
f7,0.0012234240500901084,0.001026282004724941,0.0013540929861566265,-0.056975276979854605,-0.15713015387838622,0.03129531904343685
f8,5.963588208381433e-5,5.217308410838068e-5,6.623609539047873e-5,-0.05692140259351541,-0.15721105314440367,0.028914958898353188
tmax,0.11824988022959927,0.09853281521818696,0.13521447299273376,0.0474842049944769,-0.030147402543561838,0.1366195710166417
topt,0.06740216579684886,0.05595239973876456,0.07855987227746544,0.03622830281850751,-0.04988014575057158,0.12877867620648598
plig,0,0,0,-0.05629922693862171,-0.15694302567620838,0.029409764182114842
