POLY_ID,Long,Lat
1,-113.55,53.416667
2,-82.666667,42.166667
3,-75.666667,45.5
4,-112.766667,49.7
5,-112.083333,49.7
6,-107.8,50.25
7,-107.8,50.25
8,-108.833333,52.366667
9,-114.466667,53.116667
