Location,Long,Lat,POLYID,ECO_ID,,SL,PROVINCE,PCPTREGION
1,-113.55,53.416667,727006,727,,727006,AB,AB_3
2,-82.666667,42.166667,570007,570,,570007,ON,ON_1
3,-75.666667,45.5,425023,425,,425023,QC,QC_3
4,-112.766667,49.7,793011,793,,793011,AB,AB_2
5,-112.083333,49.7,828001,828,,828001,AB,AB_1
6,-107.8,50.25,825005,825,,825005,SK,SK_1
7,-107.8,50.25,825005,825,,825005,SK,SK_1
8,-108.833333,52.366667,767001,767,,767001,SK,SK_2
9,-114.466667,53.116667,692009,692,,692009,AB,AB_4
