params,totsi,totsi_lci,totsi_uci,singsi,singsi_lci,singsi_uci,driver,value,gsa_sample_n
f1,2.164353535724288,-4.166216759742473,2.2543094632024263,-0.6084473733116593,-2.0048151547800215,15.695045164455877,location_name,"Ellerslie,Harrow",3
f2,0.006394892542148918,-0.045101493527631493,0.011198092332422306,-1.4591119403011223,-2.39947145843416,3.852139708172797,location_name,"Ellerslie,Harrow",3
f3,0.10782531949033736,-0.15533512364165786,0.15928151790964545,-2.50579263628696,-3.7528199977108327,5.095931479797833,location_name,"Ellerslie,Harrow",3
f5,0.004899977858977528,-0.020605238068328053,0.00781761687469613,-1.277149419829901,-2.1849484120536506,4.339610398520788,location_name,"Ellerslie,Harrow",3
f6,0.18393928623601827,-0.4229375341892689,0.272516798100965,-2.1716623346189525,-3.051048314567593,5.352206508705786,location_name,"Ellerslie,Harrow",3
f7,0.0061304468885204,-0.007915591148554566,0.008191661685312508,-1.7239184216957912,-2.835136363618906,5.075379442069103,location_name,"Ellerslie,Harrow",3
f8,1.521485634196712e-4,-0.0014908449351552396,2.9440396659435983e-4,-1.4745602494930239,-2.4868937711516317,4.899046295391716,location_name,"Ellerslie,Harrow",3
k10,0,0,0,-1.4736480176036768,-2.4923508752056365,4.867757741932374,location_name,"Ellerslie,Harrow",3
k20,0,0,0,-1.4736480176036768,-2.4923508752056365,4.867757741932374,location_name,"Ellerslie,Harrow",3
k30,4.282578249189941e-4,-0.004230816465251703,8.403270982966187e-4,-1.438626933227685,-2.4261209142703786,4.521295383702447,location_name,"Ellerslie,Harrow",3
k40,0.5782323655510068,-1.8219788733540863,0.5782323655510068,-0.012068070944013437,-0.5539562996278131,4.44776823629185,location_name,"Ellerslie,Harrow",3
k50,9.856785907070149e-5,-8.94079569008029e-4,1.6385030033363646e-4,-1.4630998571320657,-2.4782867237848643,4.773299675593222,location_name,"Ellerslie,Harrow",3
plig,0,0,0,-1.4736480176036768,-2.4923508752056365,4.867757741932374,location_name,"Ellerslie,Harrow",3
tillfac_FT,0.6557958265380825,-5.927693038485774,1.2170502041631694,-1.4092665167113407,-1.6802882169450992,3.737158511952948,location_name,"Ellerslie,Harrow",3
tillfac_RT,0,0,0,-1.4736480176036768,-2.4923508752056365,4.867757741932374,location_name,"Ellerslie,Harrow",3
tmax,0.09517057777789678,-0.5952619943753084,0.16572803387581234,-0.6803415198079562,-1.2582439064533786,2.9985286886904134,location_name,"Ellerslie,Harrow",3
topt,0.17861370102807478,-1.7491239900355167,0.336252903591913,-2.151905051370261,-3.126442661495309,7.990016811548944,location_name,"Ellerslie,Harrow",3
wfac_irri,0,0,0,-1.4736480176036768,-2.4923508752056365,4.867757741932374,location_name,"Ellerslie,Harrow",3
