parameter,2.5%,25%,median,75%,97.5%,map,mean,driver,value,sir_sample_n,sir_resample_n
f1,0.13252100554661594,0.24061857157270425,0.3607269782683579,0.4534840125922347,0.5369653434837238,0.4391393378402191,0.3424927300205066,location_name,"Ellerslie,Harrow",4,3
k40,0.06580506568234996,0.09501969205361092,0.12748038802167866,0.1634867519431864,0.19589247947254335,0.10752884289965566,0.12984416665730533,location_name,"Ellerslie,Harrow",4,3
tmax,42.34940365405055,42.88796477933647,43.486366029654164,45.434476241644006,47.18777543243486,42.918630308178166,44.386172004102264,location_name,"Ellerslie,Harrow",4,3
topt,30.83612303540483,31.50988265324384,32.258504450842736,33.07816861510277,33.815866362936795,31.8234592389705,32.305866028616826,location_name,"Ellerslie,Harrow",4,3
