parameter,2.5%,25%,median,75%,97.5%,map,mean,driver,value,sir_sample_n,sir_resample_n
f1,0.027971630424422328,0.09699965855892573,0.31628751806974875,0.510099431880666,0.7497945787258811,0.0871384338366957,0.32270020524499765,location_name,"Ellerslie,Harrow",1000,100
f2,0.02250464865250329,0.11267136001001579,0.22278833310025373,0.40254260128963604,0.48471232747768267,0.12795978041384098,0.24535385879010244,location_name,"Ellerslie,Harrow",1000,100
f3,0.11156190066236363,0.22275137954655802,0.4240218782854733,0.5837506925677881,0.789217690952578,0.20924602143402737,0.4204770414200607,location_name,"Ellerslie,Harrow",1000,100
f5,0.03840569062323521,0.05399804271781281,0.06738796815835627,0.0869352032869743,0.09876826374136659,0.05879539267837605,0.06882628491146935,location_name,"Ellerslie,Harrow",1000,100
f6,0.02693077508738416,0.05840319386446326,0.10354676201813856,0.14389765521900671,0.17997698677018395,0.14165762588745864,0.10235319933270591,location_name,"Ellerslie,Harrow",1000,100
f7,0.38221818592575463,0.4006680795108215,0.4195887540638088,0.4424421402225285,0.4603066016068934,0.44158625390409995,0.4201057524771909,location_name,"Ellerslie,Harrow",1000,100
f8,0.4080093973156469,0.42634013869804566,0.45298576407696006,0.4788237778833584,0.4917482783530399,0.48124144932788593,0.4513329255594059,location_name,"Ellerslie,Harrow",1000,100
k10,16.83645849671808,17.637850878419936,18.354711066988774,19.508877130889786,20.20171377854387,18.014603233234293,18.48576284136752,location_name,"Ellerslie,Harrow",1000,100
k20,4.448642427202282,4.638985825010402,4.84989395039312,5.056746291064554,5.3186417754764985,4.9038252843037355,4.851584177767382,location_name,"Ellerslie,Harrow",1000,100
k30,6.705992613926006,7.0611997223300484,7.457626322388803,7.817029994428184,8.073479373688322,7.845256161493724,7.419969762668001,location_name,"Ellerslie,Harrow",1000,100
k40,0.06056347251001139,0.12633705872985104,0.19083843376108142,0.22661384212976707,0.29589374435501037,0.21097736561613367,0.18038503980768572,location_name,"Ellerslie,Harrow",1000,100
k50,0.005178687994512118,0.006260561139370839,0.007319926141947508,0.008619127805136087,0.009807564704971416,0.006472483749493512,0.007407751114582224,location_name,"Ellerslie,Harrow",1000,100
plig,2.0524250557059656,2.4081606972493463,3.04020925306133,3.6061116307319603,3.910895726435527,3.646987132471549,3.0141326866537566,location_name,"Ellerslie,Harrow",1000,100
tillfac_FT,1.5638143126349744,2.2712133387034754,2.8221181499060477,3.374319170886779,3.8821921338187404,2.83488625964287,2.787538512278731,location_name,"Ellerslie,Harrow",1000,100
tillfac_RT,1.1126366243520867,1.4669197762730763,1.9831469199350102,2.5343256056075916,2.980661399066215,1.9605876611025288,2.030347288225475,location_name,"Ellerslie,Harrow",1000,100
tmax,40.838362622294355,43.338974261113094,45.54460581653298,47.33812849445542,49.337218503327705,46.41066423271698,45.37745911696269,location_name,"Ellerslie,Harrow",1000,100
topt,30.822540403420252,32.08610331426094,33.208603555794284,34.20977567699799,35.241759920276834,33.24594607991915,33.11599056101492,location_name,"Ellerslie,Harrow",1000,100
wfac_irri,1,1,1,1,1,0.9978964983160579,1,location_name,"Ellerslie,Harrow",1000,100
