SampleID,tillfac_FT,tillfac_RT,wfac_irri,k10,k20,k30,k40,k50,f1,f2,f3,f5,f6,f7,f8,tmax,topt,plig
381,2.4087550363478716,1.4048342569069936,1,16.671021508562074,4.658462005498064,7.756361972673946,0.19666853464672712,0.006281416263738647,0.04538783310089261,0.15436105469467562,0.17299821288490203,0.09836144563457626,0.1225096204730007,0.42788805384295064,0.4336355528484844,45.505054136591035,34.67331944668297,2.9891622789925893
429,2.1533368096800523,1.9520356539445929,1,18.432128877926875,4.885715607326421,7.975594505212838,0.08533795175209828,0.006655092026586644,0.09248188126804073,0.33398759616151896,0.6153536469476065,0.09792909500898445,0.14547668941552752,0.40393008000309394,0.4832324081165297,42.0518854604722,33.00949702459026,3.840886956879869
166,3.087293513026787,2.939348527009133,1,18.78610296850782,5.216102249273085,7.600091695827367,0.24910128777668905,0.006904343228245853,0.08032561684332787,0.4138273032955294,0.19091384981661105,0.054039832959473365,0.1412317617482273,0.4474650837689219,0.4069566583007458,42.8842930503292,33.19796544350076,2.14252805264527
916,1.9933561098702717,1.3211193552170881,1,19.7100243873826,4.4447578139199875,6.896764203648335,0.07712176108896454,0.009234733910198557,0.5190831723286118,0.19574592666689705,0.7193884816227947,0.08692424705480761,0.0454943804469076,0.44554849172416516,0.46136835171813845,43.91951405126578,34.18273234637414,3.3226286951624786
356,2.288022425438417,2.5386631956347268,1,19.14630531263594,4.812539424869227,8.04519395021165,0.2966631123410906,0.009926869712817716,0.034844144305312075,0.028831995415782557,0.5121703082178953,0.060973208939366044,0.08247254128817935,0.419121226055908,0.47046447917193174,40.857385094136696,30.908522789850643,2.1510946399453097
302,3.180910305052763,1.7637855655374004,1,19.43492663790812,5.061206914801201,7.064633381983387,0.19810039737037194,0.007541712705151877,0.07943634099913761,0.23622640096138442,0.1998721892040223,0.05120874241623631,0.10892869308890077,0.4384653038875731,0.43489340354622574,41.118843817292714,31.888663051582352,2.2965322489803657
337,1.9305219508382492,2.6869511169274336,1,18.427900489609268,4.899633374110525,7.155798468722795,0.22352445185192207,0.006228072313509183,0.02518380182591267,0.07697821837941045,0.31040043365105524,0.0558330768934167,0.15050871952738382,0.41759328725030087,0.4073293142276444,46.70155463484116,32.0911193696272,3.220534251493402
803,2.955382020761352,1.2722727622957901,1,18.194820623190676,5.355239533450804,7.9573710600176835,0.12966425140690757,0.00569208676324226,0.03692966868813615,0.36785612958884073,0.37851773190225946,0.04857466553850728,0.024922609381971418,0.4211156510588173,0.4664134057299025,47.01339871765673,31.60011469203416,3.0410726093947886
835,3.2388960854677484,1.8573165334584192,1,18.1308162374289,5.063789528802219,6.7073240447133875,0.2205461095077223,0.0067620497248996984,0.652383387976028,0.10898575243056961,0.12352142227643637,0.04953547390441061,0.05089969427799341,0.3821886429648651,0.44401651203686837,46.48123815188999,33.79112827589136,3.088947557150852
796,2.2382332015612163,2.800399873812683,1,17.213771819214266,5.05620006300019,6.762981153956494,0.2895491926697232,0.006307118579063099,0.4445900423953287,0.16167869504873408,0.6974041973534273,0.09101777972987946,0.06791839670097456,0.4429666980663473,0.4399020514280512,48.63435441326676,31.449751957439855,2.018292444374878
555,2.5780959685851355,1.2601143660359084,1,17.68326173493243,4.494375507372673,7.717039143791768,0.15651924740862055,0.005218270563804544,0.3006966980261612,0.47393164805147914,0.7967244770081249,0.07059593534738104,0.07818259602049134,0.38834444657068234,0.45945642117822777,46.20880954681663,34.382734677088564,2.0174510943563657
628,2.854972093460523,2.768995956664905,1,18.02503058149754,4.694456666021836,6.7006411160810755,0.2941501243042178,0.007233959845439531,0.2751008259384171,0.14142614574729723,0.2948965247341898,0.0758099280454414,0.09602261867293856,0.44716123983983136,0.48830102460817665,46.05265511717065,33.890641945354304,3.879003130884841
502,1.6390977353106253,2.6355532137085684,1,17.049344169281934,4.514816180462465,7.864847052531587,0.2086195670475806,0.006614928173981608,0.03937172201927053,0.3280506392692607,0.7222406115096529,0.08696807198347431,0.02446415663316613,0.4452453627614435,0.45492128017918443,49.12839178521093,33.698466555755736,3.9979162383526563
305,1.665547742005717,1.4684706295928918,1,17.226824191399082,4.734631423625136,7.158252578246882,0.14043833734924346,0.008440415509665618,0.2619928800726496,0.42961313565254844,0.3830633074184182,0.03869903551251418,0.060489151916098785,0.38625019425405377,0.4196211939938972,48.96436630875547,34.12716716376104,2.198145827858709
431,1.631563195142988,2.674042387351859,1,20.022759046807188,5.357536217841976,6.778193143455461,0.17285794730171422,0.008656067818455631,0.09075051193350693,0.04659562447294639,0.2343292176850606,0.08049043314780294,0.1676971848210017,0.4252253790588258,0.40911139703948984,45.74244640340167,35.19983893855904,2.2610678116898053
175,3.721349941312987,1.4148576768087224,1,19.953190543039586,5.270089146444858,8.063782221776378,0.16792179876151309,0.0062007784888963215,0.13916420914456715,0.15512902985400662,0.4688153098903364,0.08626073015080532,0.05842093471829547,0.43934322511504315,0.4847393804070982,47.84374734167755,33.67569566420835,2.08381668732129
938,2.273610676951939,1.6954430053443648,1,17.440300673334345,4.756311206743946,7.141045334328572,0.08166791475391853,0.005548950445085066,0.0815979710689094,0.1599004868617393,0.10980795170085039,0.088509507753541,0.04942256374111166,0.41044312411240397,0.4906858824103628,48.61609165856475,33.219241668087804,2.335405826223083
876,2.7315318773326465,1.3084996383422984,1,19.47301687770409,5.289025464556427,6.891394034499638,0.21703951632924517,0.005921008236522321,0.16992549178677613,0.4962499253988864,0.1303339500226546,0.06707502222007816,0.10266759988668375,0.40729019795573596,0.4203133775078855,46.95529651244637,35.02506816243146,2.8793324050423688
229,1.7890683987888973,1.2074515003040434,1,18.231959289570387,4.944925679909307,6.713703339209529,0.20258359722679295,0.006899331984680612,0.1319199956448586,0.4885640056426565,0.7663554739560001,0.05902167237938684,0.11915508443765344,0.43525299156848063,0.42988349985623503,45.64080495499307,31.218603678120598,3.54537389596086
330,2.43537852715319,1.2637527074664832,1,17.699702163128716,4.858932608893705,7.04676804089631,0.1845650719169043,0.006846369065367617,0.09850558432255406,0.3568882592829754,0.7924475714856294,0.0703999345491517,0.10664735228744103,0.38340680130648147,0.4896833296376816,48.2038275071613,32.6634049015709,2.6826337022352966
898,1.9893579856758006,2.253508737407159,1,18.554935534817425,4.719724782613115,7.648454948668592,0.14096063024915803,0.0067433996035775635,0.04221029317194829,0.04477165867100167,0.24268242695562078,0.06722937527785008,0.07068586500428152,0.38395217089816835,0.4085418627817277,44.78543525648327,32.97561480819159,3.946550398121588
930,2.379605671768589,2.0008847546107136,1,17.57804007051198,5.003889362046197,7.254181259246031,0.13394035498507695,0.007631036685127765,0.6624245196169825,0.30803738423448335,0.4835799818828702,0.06493321194545808,0.17692385495315074,0.40443036467352045,0.4075276428463357,47.43723131702444,32.80749081178449,2.4088709505926817
241,3.359043067289609,1.4622672163136303,1,17.703686269587,5.159376605109656,7.4329354877187965,0.26950590801391566,0.00792782127239043,0.5512503210868943,0.41693767136446946,0.18252191106609536,0.04734612538644602,0.16802692733011673,0.4010253260957161,0.4335024488887936,42.42316411787434,32.1806131912839,2.237617921730038
55,2.4670325122944545,1.5486217187596485,1,18.096269287734593,4.4684032517003365,7.573132110671085,0.099569172601456285,0.008488584073198727,0.21084978264055448,0.3537605052014571,0.28327800358380195,0.09730252997029293,0.03944547253204044,0.42509566583034397,0.41778837869747076,44.76972788840811,32.96920252321143,2.9949567405865527
456,3.028472959351819,1.7710152803035453,1,19.96559926802437,4.701289598964369,7.8937792557014905,0.09858591473185177,0.00924342803567415,0.012441177481722552,0.060171362101127626,0.37589623856600374,0.051376653767393435,0.1316218986521708,0.4496934227008028,0.42047781379764904,45.29709681097954,32.559714147276765,3.5293066248320972
69,3.728266829043068,1.1079299100926145,1,17.77538141550268,4.475771326469677,7.54613921059276,0.22817615929709653,0.009481134774647654,0.057685674150660636,0.021527042801558274,0.5427193114459049,0.03798760621257918,0.11172027812949849,0.4108149681401979,0.4649514411848411,44.653664680079324,31.188393220096902,3.5248272993550636
918,3.560977495809598,1.8956428441768511,1,17.004278760084066,4.997979823869909,6.773272670262009,0.23493530219908013,0.0074058924384554844,0.047786495177624753,0.4707925597895526,0.26182553939057984,0.07766337586063055,0.09037139723779168,0.3890546677721422,0.4787864033481781,47.08600741906534,32.07105514816214,2.913882833702024
396,2.353317297346704,2.8110488033830188,1,17.782724315458395,4.4939941694147185,7.339834387127227,0.21069044036187465,0.0054888751749217046,0.21746495529711946,0.23416910770998267,0.4237659838455963,0.09569439705128083,0.032615121423248204,0.4472171170639163,0.484932892605986,49.45469868179387,35.11267742021907,2.567070719795767
658,2.1233350661738775,2.979737775504589,1,17.146237925820518,4.936700070243943,7.929705225278223,0.2159673673395207,0.005492731531091267,0.3267472775039915,0.1428158954538936,0.44327806631450084,0.09861625437705707,0.04154623785398668,0.4299860238044411,0.49100054443243424,46.26313391051441,33.64932816888638,2.9422847527284173
9,1.746353262897022,2.5291127282963135,1,16.868245134565978,5.268004405020847,7.5663087237942594,0.13115641879607456,0.006021444846732775,0.4371304593774537,0.21644752680582416,0.5057834813115654,0.041366217354365624,0.14769128098991,0.38225083867200094,0.4702948214389966,45.2221446730555,33.51279437092919,2.7839694416355343
478,1.5562172955764457,2.005481820677407,1,17.255058174632744,4.994317783454363,7.121694010431534,0.24229617711764573,0.006568600398005219,0.20311244639826476,0.30227326767981494,0.7022766466696282,0.09980839786453405,0.040656332555403935,0.44323910862562527,0.4412524506301666,48.95819911621045,32.27108172003083,2.1100169587838464
833,1.572211015699664,2.8474649786269293,1,16.850554225663117,4.564306449824418,6.704787986070756,0.059419427086122335,0.00940255132201477,0.3873827181697777,0.023012892236781306,0.7150637455868535,0.0394355052954487,0.10471035763319583,0.4032533366325824,0.48660738871996756,49.26688264562655,34.85675919498828,2.0240231032921003
