params,totsi,totsi_lci,totsi_uci,singsi,singsi_lci,singsi_uci,driver,value,gsa_sample_n
f1,0.6112266899642654,0.3363808134446138,0.7767991838116064,0.7641597658399684,0.6812007661309013,0.8747558800065905,location_name,"Ellerslie,Harrow",100
f2,0.003293318306215956,9.042896906384023e-4,0.005198607091784889,0.11369041081670077,-0.13151574060760043,0.46300092595495135,location_name,"Ellerslie,Harrow",100
f3,0.016109359525759814,0.006906448193143122,0.023508062604845135,0.05872608015634939,-0.19304493597687294,0.3863487560702837,location_name,"Ellerslie,Harrow",100
f5,7.347518721196728e-4,2.743448222721184e-4,0.0010559809741223644,0.085299585115642,-0.1616457313661416,0.42834644708542213,location_name,"Ellerslie,Harrow",100
f6,0.019826335075007313,0.009968694732883723,0.026615501257007068,0.11002380124923075,-0.10716826352135145,0.43750613287753787,location_name,"Ellerslie,Harrow",100
f7,0.0010473684109389891,5.93436214167335e-4,0.0013319727670430557,0.10045208146101035,-0.13193113322993752,0.4507863436942736,location_name,"Ellerslie,Harrow",100
f8,5.987093843354179e-5,2.5866504872198735e-5,7.935330726256957e-5,0.09263925097940777,-0.14662904963077247,0.4337216627342707,location_name,"Ellerslie,Harrow",100
k10,0,0,0,0.09440569232258615,-0.1451550724394103,0.4373115566691873,location_name,"Ellerslie,Harrow",100
k20,0,0,0,0.09440569232258615,-0.1451550724394103,0.4373115566691873,location_name,"Ellerslie,Harrow",100
k30,5.919200602857204e-5,6.926036222432315e-6,8.223550734307409e-5,0.09279526992568314,-0.1467190750755096,0.437448074038009,location_name,"Ellerslie,Harrow",100
k40,0.03768524510062834,0.021043078522359412,0.050503969951497696,0.20139148420601807,3.0831768769057355e-4,0.5959420235374417,location_name,"Ellerslie,Harrow",100
k50,1.163456212173153e-5,5.350988568143599e-6,1.665189545672971e-5,0.09407010857440982,-0.1461274136688758,0.43807006288408745,location_name,"Ellerslie,Harrow",100
plig,0,0,0,0.09440569232258615,-0.1451550724394103,0.4373115566691873,location_name,"Ellerslie,Harrow",100
tillfac_FT,0.024252492233461837,0.012009661530668424,0.03352362466891841,0.12092710022030294,-0.11583607793182818,0.5045381798668085,location_name,"Ellerslie,Harrow",100
tillfac_RT,0,0,0,0.09440569232258615,-0.1451550724394103,0.4373115566691873,location_name,"Ellerslie,Harrow",100
tmax,0.08264452888602919,0.03099271052694566,0.11413217057201519,0.16558461047314854,-0.0388987043551452,0.520835400448832,location_name,"Ellerslie,Harrow",100
topt,0.038272809186577626,0.012716719084934616,0.04955325067672346,0.18773647400989985,-0.037010924612751406,0.5161743661408028,location_name,"Ellerslie,Harrow",100
wfac_irri,0,0,0,0.09440569232258615,-0.1451550724394103,0.4373115566691873,location_name,"Ellerslie,Harrow",100
