params,totsi,totsi.lci,totsi.uci,singsi,singsi.lci,singsi.uci,driver,value,n
tillfac_FT,0.031847971872039714,0.017785646097751052,0.040466813717539886,-0.08149898595331376,-0.38003108696078913,0.4734010409568497,location_name,"Ellerslie,Harrow",100
tillfac_RT,0,0,0,-0.11793966610342967,-0.4269994098468279,0.43272296906195784,location_name,"Ellerslie,Harrow",100
wfac_irri,0,0,0,-0.11793966610342967,-0.4269994098468279,0.43272296906195784,location_name,"Ellerslie,Harrow",100
k10,0,0,0,-0.11793966610342967,-0.4269994098468279,0.43272296906195784,location_name,"Ellerslie,Harrow",100
k20,0,0,0,-0.11793966610342967,-0.4269994098468279,0.43272296906195784,location_name,"Ellerslie,Harrow",100
k30,5.965713846972383e-5,2.8462084303929925e-5,8.20140836085914e-5,-0.11750305998069187,-0.42626330002900387,0.43398225901258236,location_name,"Ellerslie,Harrow",100
k40,0.04433061519920964,0.0277386798585603,0.06081888097065084,-0.023480326720221777,-0.30162966639245664,0.5107261127765278,location_name,"Ellerslie,Harrow",100
k50,8.957824865665395e-6,3.857206686599663e-6,1.2933440675506016e-5,-0.11947018309519986,-0.429231265353729,0.4305246824525437,location_name,"Ellerslie,Harrow",100
f1,0.8664855364650828,0.3227230581144771,1.1039718543794788,0.7662246498504104,0.6836543562004731,0.9148766169371004,location_name,"Ellerslie,Harrow",100
f2,0.004190003485148148,0.0024545554134947096,0.005820623943607909,-0.13174023451148728,-0.44094472176145383,0.41567270737990675,location_name,"Ellerslie,Harrow",100
f3,0.025440152542735916,0.016255296977516813,0.03316499567885953,-0.057690233171863455,-0.36019896016872965,0.49180313076278936,location_name,"Ellerslie,Harrow",100
f5,7.70669027109255e-4,3.1864230382363905e-4,0.001082149333576335,-0.12013498523532394,-0.43341577772653284,0.4324809731061964,location_name,"Ellerslie,Harrow",100
f6,0.022615669026087398,0.010367957197495503,0.03040721832950994,-0.10905827801672352,-0.39241795644212024,0.44756087577197157,location_name,"Ellerslie,Harrow",100
f7,0.0010095753051882082,4.053764019623441e-4,0.0013098659030167643,-0.11763627146915565,-0.42147844147125063,0.4223487025078238,location_name,"Ellerslie,Harrow",100
f8,5.414632922994114e-5,1.5317310095089203e-5,7.009165013781524e-5,-0.1168825284392602,-0.42568173135630605,0.4323909140928253,location_name,"Ellerslie,Harrow",100
tmax,0.071780939009303,0.038328520621332324,0.09338942596620774,0.00543011729507782,-0.27523491173921244,0.48279557581356963,location_name,"Ellerslie,Harrow",100
topt,0.03979579718889604,0.019270672594978312,0.054321415380936794,-0.07259259830116556,-0.3562471871906192,0.4554700809872788,location_name,"Ellerslie,Harrow",100
plig,0,0,0,-0.11793966610342967,-0.4269994098468279,0.43272296906195784,location_name,"Ellerslie,Harrow",100
