params,totsi,totsi_lci,totsi_uci,singsi,singsi_lci,singsi_uci,driver,value,gsa_sample_n
f1,0.5762628075593534,-1.0667057209611617,0.7949130728232048,0.8320711184258235,0.7903573516342434,1.4225618081828943,location_name,"Ellerslie,Harrow",3
f2,0.001762423741261476,-0.003752170737254317,0.002974572283456229,0.520068182624579,0.520068182624579,1.9913473210044605,location_name,"Ellerslie,Harrow",3
f3,0.006682736001738594,-0.012074665449426347,0.008273921231921822,0.5964357980122373,0.5964357980122373,2.400891616048405,location_name,"Ellerslie,Harrow",3
f5,8.092241048659827e-4,-0.0018184974263568943,0.001574324461577705,0.5288409720641476,0.5288409720641476,2.057070283734649,location_name,"Ellerslie,Harrow",3
f6,0.0140033943261817,-0.0827025733551205,0.02479563311166725,0.5864657489907041,0.5864657489907041,1.6928670986159864,location_name,"Ellerslie,Harrow",3
f7,4.794984161575241e-4,-5.092712541473377e-4,5.0091199074889e-4,0.5504098129274766,0.5504098129274766,1.991078537552142,location_name,"Ellerslie,Harrow",3
f8,8.017123841559602e-5,-1.67212758945605e-4,1.2774634105250599e-4,0.5494159441958119,0.5494159441958119,2.0872812304337165,location_name,"Ellerslie,Harrow",3
k10,0,0,0,0.5571554806169495,0.5571554806169495,2.103620111422005,location_name,"Ellerslie,Harrow",3
k20,0,0,0,0.5571554806169495,0.5571554806169495,2.103620111422005,location_name,"Ellerslie,Harrow",3
k30,7.353907907020155e-5,-4.7977219103838476e-4,1.2048905662776722e-4,0.5667436064178071,0.5667436064178071,2.0528030559660166,location_name,"Ellerslie,Harrow",3
k40,0.05664620635623083,-0.09866931273642343,0.07050430682081185,0.37395207405355235,0.3349793528363405,1.7784165673517272,location_name,"Ellerslie,Harrow",3
k50,1.3756278542902226e-5,-3.0064151647325958e-5,2.4911681328398033e-5,0.5538784462537375,0.5538784462537375,2.094795027248684,location_name,"Ellerslie,Harrow",3
plig,0,0,0,0.5571554806169495,0.5571554806169495,2.103620111422005,location_name,"Ellerslie,Harrow",3
tillfac_FT,0.019706584090400638,-0.13338448988462165,0.03766625230091817,0.6228389512931974,0.6228389512931974,1.8360815771077217,location_name,"Ellerslie,Harrow",3
tillfac_RT,0,0,0,0.5571554806169495,0.5571554806169495,2.103620111422005,location_name,"Ellerslie,Harrow",3
tmax,0.04203351874835454,-0.2601725105141948,0.07637311477520176,0.4943453506190419,0.41207739529120846,1.7602663916610233,location_name,"Ellerslie,Harrow",3
topt,0.006698977131183763,-0.03768573910925362,0.011555600756293746,0.5235808349841828,0.5235808349841828,2.4225322660901947,location_name,"Ellerslie,Harrow",3
wfac_irri,0,0,0,0.5571554806169495,0.5571554806169495,2.103620111422005,location_name,"Ellerslie,Harrow",3
