params,totsi,totsi.lci,totsi.uci,singsi,singsi.lci,singsi.uci,driver,value,n
tillfac_FT,0.036487706811378764,0.018329342851715127,0.04844544512160702,0.022182424903629754,-0.18069245881502588,0.34465484699199905,location_name,"Ellerslie,Harrow",100
tillfac_RT,0,0,0,-0.03613082960711736,-0.22766838246589177,0.34758229020215164,location_name,"Ellerslie,Harrow",100
wfac_irri,0,0,0,-0.03613082960711736,-0.22766838246589177,0.34758229020215164,location_name,"Ellerslie,Harrow",100
k10,0,0,0,-0.03613082960711736,-0.22766838246589177,0.34758229020215164,location_name,"Ellerslie,Harrow",100
k20,0,0,0,-0.03613082960711736,-0.22766838246589177,0.34758229020215164,location_name,"Ellerslie,Harrow",100
k30,6.429359766879078e-5,2.3198761362215993e-5,8.896287781044299e-5,-0.03618011572674022,-0.22801862224738012,0.3471445172506621,location_name,"Ellerslie,Harrow",100
k40,0.042250672578900056,0.016097097094572813,0.05614623259318327,-0.05616922136776212,-0.26923977843876257,0.32080543511807275,location_name,"Ellerslie,Harrow",100
k50,1.5047770370014752e-5,7.94658545117928e-6,2.0902521489798112e-5,-0.036497152076864645,-0.2278730662027574,0.3466243447153332,location_name,"Ellerslie,Harrow",100
f1,0.8446990810702125,0.5351300927823439,1.0429949725641543,0.7629684542569553,0.6983967895962295,0.8723689885960768,location_name,"Ellerslie,Harrow",100
f2,0.00356643327282863,0.0011316060348437965,0.005481188078271938,-0.05093767946140536,-0.25223382583449283,0.33234829464721616,location_name,"Ellerslie,Harrow",100
f3,0.024608654663503992,0.01013419278955549,0.03495474192888404,1.2732912593993966e-4,-0.20649872585702206,0.45716342602506393,location_name,"Ellerslie,Harrow",100
f5,7.439171412263015e-4,2.501222688867772e-4,0.0011523308100314287,-0.0381071145255463,-0.2327769323627992,0.34958639709732253,location_name,"Ellerslie,Harrow",100
f6,0.018373846563902726,0.00993230851894603,0.024096735109344066,-0.006703300837725849,-0.19828181074181833,0.3120652257529457,location_name,"Ellerslie,Harrow",100
f7,9.88602362844967e-4,5.578694337009023e-4,0.0013331054141860212,-0.03474493141369963,-0.2215900313696556,0.3412523235306019,location_name,"Ellerslie,Harrow",100
f8,5.167460536049415e-5,2.17781887748554e-5,6.98991620535974e-5,-0.035750084769285886,-0.22931140958737745,0.35256969392474147,location_name,"Ellerslie,Harrow",100
tmax,0.08785306317498394,0.03802125329774983,0.11777757690646999,0.011628408240179095,-0.17940764160567466,0.40712676281252363,location_name,"Ellerslie,Harrow",100
topt,0.058227866990647435,0.03560734648122016,0.07901448863625089,0.02788623995437845,-0.18109261703885005,0.4181606033450674,location_name,"Ellerslie,Harrow",100
plig,0,0,0,-0.03613082960711736,-0.22766838246589177,0.34758229020215164,location_name,"Ellerslie,Harrow",100
