params,main,interactions,driver,value,gsa_sample_n
f1,0.9595192829955925,0.9929826603336219,location_name,"Ellerslie,Harrow",100
f2,0.0054044561199926636,0.023996111096506678,location_name,"Ellerslie,Harrow",100
f3,0.041075183585896714,0.07487669452212742,location_name,"Ellerslie,Harrow",100
f5,0.0019103282939335324,0.024262763581215596,location_name,"Ellerslie,Harrow",100
f6,0.026318814149089296,0.054038376649933495,location_name,"Ellerslie,Harrow",100
f7,0.0025133311818170225,0.025241102772025403,location_name,"Ellerslie,Harrow",100
f8,0.0012546917950561401,0.02286923870433588,location_name,"Ellerslie,Harrow",100
k10,0.001175973138607308,0.022508548364744918,location_name,"Ellerslie,Harrow",100
k20,0.001175973138607308,0.022508548364744918,location_name,"Ellerslie,Harrow",100
k30,0.001220883522795246,0.022093392448418347,location_name,"Ellerslie,Harrow",100
k40,0.03454829749329282,0.04867158314580744,location_name,"Ellerslie,Harrow",100
k50,0.0011867954659378573,0.022568762712959822,location_name,"Ellerslie,Harrow",100
plig,0.001175973138607308,0.022508548364744918,location_name,"Ellerslie,Harrow",100
tillfac_FT,0.027577534851954345,0.042083932644174316,location_name,"Ellerslie,Harrow",100
tillfac_RT,0.001175973138607308,0.022508548364744918,location_name,"Ellerslie,Harrow",100
tmax,0.045819960222631476,0.06362572449737003,location_name,"Ellerslie,Harrow",100
topt,0.043251683419612524,0.07756304065414354,location_name,"Ellerslie,Harrow",100
wfac_irri,0.001175973138607308,0.022508548364744918,location_name,"Ellerslie,Harrow",100
