parameter,2.5%,25%,median,75%,97.5%,map,mean,driver,value,sir_sample_n,sir_resample_n
f1,0.08715954750220409,0.17470837579661747,0.27198485167929903,0.5025224314260414,0.7100062531981095,0.17856177522873418,0.3608255875886729,location_name,"Ellerslie,Harrow",4,3
f2,0.09477003268002591,0.21791931661168928,0.3547518543135375,0.3707827890975459,0.3852106304031535,0.3694098229564794,0.27421745236831097,location_name,"Ellerslie,Harrow",4,3
f3,0.1315491408822709,0.25069867813435853,0.3830870528589003,0.5531377881008667,0.7061834498186365,0.27048035700641154,0.40819529320385,location_name,"Ellerslie,Harrow",4,3
f5,0.05147126434410456,0.058392140679759896,0.0660820032749325,0.06953796671744203,0.07264833381570061,0.0694412855175874,0.06325940383982379,location_name,"Ellerslie,Harrow",4,3
f6,0.05703342373561463,0.07791688248951686,0.10112072554940825,0.13212596744007898,0.16003068514168264,0.08087726131231218,0.10632165810326115,location_name,"Ellerslie,Harrow",4,3
f7,0.3840768180625281,0.39467633108608424,0.4064535677789245,0.426890722713084,0.4452841621538275,0.39547731666565483,0.4122268466064707,location_name,"Ellerslie,Harrow",4,3
f8,0.41888445541192776,0.4421529474318959,0.4680068274540827,0.4743860979366582,0.4801274413709761,0.47412363458016243,0.4550237544276752,location_name,"Ellerslie,Harrow",4,3
k10,18.136434121661882,18.429481855986523,18.755090449680573,19.30586066165997,19.80155385244143,18.44605844276168,18.90519819520414,location_name,"Ellerslie,Harrow",4,3
k20,4.541450294290612,4.783717080491479,5.052902398492442,5.175582010500948,5.285993661308603,5.173357749129238,4.955231927830804,location_name,"Ellerslie,Harrow",4,3
k30,6.784897124828888,7.040010354850674,7.323469499319327,7.501474263743731,7.661678551725695,7.489843910867984,7.253166579289828,location_name,"Ellerslie,Harrow",4,3
k40,0.10122864280453069,0.1101294599956018,0.12001925687456969,0.1528447208678699,0.1823876384618401,0.11035405285502432,0.1353097016174579,location_name,"Ellerslie,Harrow",4,3
k50,0.005873540025073453,0.007220637890713988,0.008717413296981249,0.009191137335146777,0.009617488969495751,0.009178087307225262,0.008035379051580093,location_name,"Ellerslie,Harrow",4,3
plig,2.428828704316402,2.604861802479718,2.8004541337722912,3.290721964382101,3.7319630119309295,2.6138294593641627,2.9969044666504487,location_name,"Ellerslie,Harrow",4,3
tillfac_FT,1.567225481008063,1.909200297872303,2.2891723166103475,2.6549897817894816,2.984225500450702,2.3934412440263753,2.279735947571074,location_name,"Ellerslie,Harrow",4,3
tillfac_RT,1.9964121233089827,2.0467376115266234,2.1026548206573352,2.545023920829408,2.9431561109842734,2.047551584923701,2.360289414684909,location_name,"Ellerslie,Harrow",4,3
tmax,43.914809830175365,44.86131883066264,45.912995497870725,46.79065785431885,47.580553975122164,46.61852692591832,45.796985957364086,location_name,"Ellerslie,Harrow",4,3
topt,31.535810951988218,31.692761682411657,31.86715138288215,32.94243930832948,33.91019844123209,31.699057893358823,32.46775019953338,location_name,"Ellerslie,Harrow",4,3
wfac_irri,1,1,1,1,1,0.9957585083820888,1,location_name,"Ellerslie,Harrow",4,3
